definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,outcome,estimate,lo,hi,bootstrap_valid,p
CAP,12,forest20,20260926,without_2026-01,5,5,197,77,120,55,numeraire,0.148486551115551,-0.05270552755570753,0.3438380443258079,1.0,0.139
CAP,12,forest20,20260926,without_2026-01,5,5,197,77,120,55,global_control,-0.06275299926973371,-0.2157892971918233,0.08458599085214838,1.0,0.4065
CAP,12,forest20,20260926,without_2026-01,5,5,197,77,120,55,total,2.49182158688133,-0.8155214351119101,5.562354482558375,1.0,0.133
CAP,12,forest20,20260926,without_2026-01,5,5,197,77,120,55,dominance,-23.018584784382845,-57.32501290684281,16.91869506659081,1.0,0.2225
CAP,12,forest20,20260926,2026-02,5,5,58,27,31,19,local,1.298784097572965,-32.90895794195921,74.04372412451308,1.0,0.954
CAP,12,forest20,20260926,2026-02,5,5,58,27,31,19,basket_price,2.1057254140851622,-75.1111685273465,37.33142688800253,1.0,0.9375
CAP,12,forest20,20260926,2026-02,5,5,58,27,31,19,basket_weights,-0.017540653352998994,-0.03265990530412401,-0.0028811767670109843,1.0,0.015
CAP,12,forest20,20260926,2026-02,5,5,58,27,31,19,numeraire,-0.06802977984380919,-0.5314624437807999,0.17245774435920544,1.0,0.7155
CAP,12,forest20,20260926,2026-02,5,5,58,27,31,19,global_control,-0.17597373301226432,-0.5763734783683353,0.24989046376439553,1.0,0.357
CAP,12,forest20,20260926,2026-02,5,5,58,27,31,19,total,3.1429653454489888,-4.324559417065475,10.752722032666172,1.0,0.338
CAP,12,forest20,20260926,2026-02,5,5,58,27,31,19,dominance,-0.8069413165122015,-69.69363647993241,149.70067358318795,1.0,0.982
CAP,12,forest20,20260926,without_2026-02,5,5,217,64,153,55,local,-9.61063474157044,-27.127149579869876,9.17275864639487,1.0,0.296
CAP,12,forest20,20260926,without_2026-02,5,5,217,64,153,55,basket_price,12.036941639330657,-7.71208363837926,30.569583709319975,1.0,0.2205
CAP,12,forest20,20260926,without_2026-02,5,5,217,64,153,55,basket_weights,-0.005855607308570791,-0.008301711939547093,-0.003377524902085766,1.0,0.0005
CAP,12,forest20,20260926,without_2026-02,5,5,217,64,153,55,numeraire,0.1437526480017877,-0.041616428456596834,0.3299734247342229,1.0,0.1295
CAP,12,forest20,20260926,without_2026-02,5,5,217,64,153,55,global_control,-0.14355540041998702,-0.4009914994187913,0.0522565527583816,1.0,0.216
CAP,12,forest20,20260926,without_2026-02,5,5,217,64,153,55,total,2.420648538032989,-0.19170772475959758,4.664394995814217,1.0,0.053
CAP,12,forest20,20260926,without_2026-02,5,5,217,64,153,55,dominance,-21.647576380901096,-57.920734678532995,16.771050696285517,1.0,0.2535
CAP,12,forest20,20260926,2026-03,5,5,74,22,52,14,local,-27.507974023749952,-47.13378711810743,0.39255696871722023,1.0,0.0265
CAP,12,forest20,20260926,2026-03,5,5,74,22,52,14,basket_price,31.378400657423576,-1.1143674554936893,54.108861249892506,1.0,0.0295
CAP,12,forest20,20260926,2026-03,5,5,74,22,52,14,basket_weights,-0.000881734871347653,-0.003883714381398696,0.0026644960705767395,1.0,0.618
CAP,12,forest20,20260926,2026-03,5,5,74,22,52,14,numeraire,0.43224667920779286,0.09744919079190408,0.841170075241279,1.0,0.023
CAP,12,forest20,20260926,2026-03,5,5,74,22,52,14,global_control,-0.030417713882405713,-0.12853733780577617,0.075482825919193,1.0,0.533
CAP,12,forest20,20260926,2026-03,5,5,74,22,52,14,total,4.27137386412737,-1.6910196672970952,8.557366955805639,1.0,0.0955
CAP,12,forest20,20260926,2026-03,5,5,74,22,52,14,dominance,-58.88637468117352,-101.00895859402213,1.2801517166826568,1.0,0.027
CAP,12,forest20,20260926,without_2026-03,5,5,201,69,132,60,local,0.6262533374216842,-20.452435071542467,23.126293597887575,1.0,0.949
CAP,12,forest20,20260926,without_2026-03,5,5,201,69,132,60,basket_price,1.3665728549882237,-21.305259432967983,22.866114024498327,1.0,0.8965
CAP,12,forest20,20260926,without_2026-03,5,5,201,69,132,60,basket_weights,-0.010528177334888447,-0.015854192131422147,-0.006231461528435897,1.0,0.0005
CAP,12,forest20,20260926,without_2026-03,5,5,201,69,132,60,numeraire,-0.02884821426884899,-0.22396006959072132,0.14857973640250374,1.0,0.7495
CAP,12,forest20,20260926,without_2026-03,5,5,201,69,132,60,global_control,-0.2005490248502563,-0.5458606383377984,0.053385190954397324,1.0,0.1915
CAP,12,forest20,20260926,without_2026-03,5,5,201,69,132,60,total,1.7529007759554764,-0.5675777100399868,3.9478720302905197,1.0,0.135
CAP,12,forest20,20260926,without_2026-03,5,5,201,69,132,60,dominance,-0.7403195175665445,-43.56359109401884,45.040349731376836,1.0,0.973
CAP,12,forest20,20260926,common_path,5,5,128,35,93,67,local,-29.077058811256983,-51.83792561323306,-5.990247682869913,1.0,0.0105
CAP,12,forest20,20260926,common_path,5,5,128,35,93,67,basket_price,31.14905956582484,6.336614307421901,54.619075807047466,1.0,0.011
CAP,12,forest20,20260926,common_path,5,5,128,35,93,67,basket_weights,-0.009588240532302696,-0.015794371641718416,-0.004212376979305919,1.0,0.0035
CAP,12,forest20,20260926,common_path,5,5,128,35,93,67,numeraire,0.22948778866529668,-0.14922678122100458,0.5933622839379015,1.0,0.2485
CAP,12,forest20,20260926,common_path,5,5,128,35,93,67,global_control,-0.5131368465842688,-0.7391901043813962,-0.2943602206060939,1.0,0.0005
CAP,12,forest20,20260926,common_path,5,5,128,35,93,67,total,1.7787634561161416,-2.040521898233846,5.486664971158435,1.0,0.3715
CAP,12,forest20,20260926,common_path,5,5,128,35,93,67,dominance,-60.226118377081825,-106.38394929390657,-12.459667692107722,1.0,0.011
CAP,12,forest20,20260927,full,5,1,275,91,184,74,local,-7.117012972252525,-28.325773362460605,14.664044938132436,1.0,0.527
CAP,12,forest20,20260927,full,5,1,275,91,184,74,basket_price,9.441377858091789,-13.248986949973936,31.92461494305092,1.0,0.416
CAP,12,forest20,20260927,full,5,1,275,91,184,74,basket_weights,-0.00739696007724198,-0.012191522990410802,-0.0036581904331624833,1.0,0.003
CAP,12,forest20,20260927,full,5,1,275,91,184,74,numeraire,0.11461382752248533,-0.15219036734210203,0.37500086909138053,1.0,0.395
CAP,12,forest20,20260927,full,5,1,275,91,184,74,global_control,-0.14794641458965255,-0.3444875952254698,0.05407025312207024,1.0,0.146
CAP,12,forest20,20260927,full,5,1,275,91,184,74,total,2.2836353386944546,-0.03704611433958603,4.656975545260666,1.0,0.0555
CAP,12,forest20,20260927,full,5,1,275,91,184,74,dominance,-16.55839083034432,-59.9612321311734,28.142851393326023,1.0,0.4705
CAP,12,forest20,20260927,full,5,5,275,91,184,74,local,-7.117012972252525,-23.177481772528655,10.806459963887491,1.0,0.398
CAP,12,forest20,20260927,full,5,5,275,91,184,74,basket_price,9.441377858091789,-9.343816149579933,26.792048176774593,1.0,0.296
CAP,12,forest20,20260927,full,5,5,275,91,184,74,basket_weights,-0.00739696007724198,-0.011131022712274327,-0.004192833832055824,1.0,0.0005
CAP,12,forest20,20260927,full,5,5,275,91,184,74,numeraire,0.11461382752248533,-0.04972171504545197,0.27273670969482416,1.0,0.1665
CAP,12,forest20,20260927,full,5,5,275,91,184,74,global_control,-0.14794641458965255,-0.3775031440475866,0.033360561064974356,1.0,0.1725
CAP,12,forest20,20260927,full,5,5,275,91,184,74,total,2.2836353386944546,0.051896227262580565,4.403659471690074,1.0,0.0395
