sample,horizon,variant,information,strategy,calibration,n,loss_bp,below_rate
common_origins,12,own_scale,F,boosting,raw,239,2.2474526344049077,0.2175732217573222
common_origins,12,own_scale,F,linear,raw,239,2.528597363725986,0.19665271966527198
common_origins,12,own_scale,F,ml_selected,raw,239,2.089921516011359,0.21338912133891214
common_origins,12,own_scale,F,qrf,raw,239,2.089921516011359,0.21338912133891214
common_origins,12,own_scale,F,threshold,raw,239,2.3207226226314326,0.2217573221757322
common_origins,12,own_scale,R,boosting,raw,239,2.1609331229498725,0.17573221757322174
common_origins,12,own_scale,R,linear,raw,239,2.3637829864537108,0.18410041841004185
common_origins,12,own_scale,R,ml_selected,raw,239,2.1564036169098473,0.18410041841004185
common_origins,12,own_scale,R,qrf,raw,239,2.152397442118188,0.200836820083682
common_origins,12,own_scale,R,threshold,raw,239,2.25893917016911,0.16736401673640167
common_origins,12,original,B,boosting,calibrated,239,2.056906749885983,0.12552301255230125
common_origins,12,original,B,linear,calibrated,239,2.2281751010254975,0.10460251046025104
common_origins,12,original,B,ml_selected,calibrated,239,1.9830256836200955,0.11297071129707113
common_origins,12,original,B,qrf,calibrated,239,1.9830256836200955,0.11297071129707113
common_origins,12,original,B,threshold,calibrated,239,2.1253378220484977,0.12133891213389121
common_origins,12,original,F,boosting,calibrated,239,2.0145235254825566,0.1297071129707113
common_origins,12,original,F,linear,calibrated,239,2.4097695504846577,0.12133891213389121
common_origins,12,original,F,ml_selected,calibrated,239,1.973523177725852,0.12133891213389121
common_origins,12,original,F,qrf,calibrated,239,1.973523177725852,0.12133891213389121
common_origins,12,original,F,threshold,calibrated,239,2.2246281187486936,0.12552301255230125
common_origins,12,original,R,boosting,calibrated,239,2.0007344586447733,0.10460251046025104
common_origins,12,original,R,linear,calibrated,239,2.2391598969014748,0.1087866108786611
common_origins,12,original,R,ml_selected,calibrated,239,2.001992137825099,0.09623430962343096
common_origins,12,original,R,qrf,calibrated,239,1.9928546194818846,0.11715481171548117
common_origins,12,original,R,threshold,calibrated,239,2.127215453287612,0.11297071129707113
common_origins,12,own_scale,B,boosting,calibrated,239,2.0261062903441522,0.13389121338912133
common_origins,12,own_scale,B,linear,calibrated,239,2.2341454414642996,0.10460251046025104
common_origins,12,own_scale,B,ml_selected,calibrated,239,2.058028454152466,0.11715481171548117
common_origins,12,own_scale,B,qrf,calibrated,239,2.058028454152466,0.11715481171548117
common_origins,12,own_scale,B,threshold,calibrated,239,2.091059040334902,0.1087866108786611
common_origins,12,own_scale,F,boosting,calibrated,239,2.0322883778052976,0.12552301255230125
common_origins,12,own_scale,F,linear,calibrated,239,2.399776648104756,0.12133891213389121
common_origins,12,own_scale,F,ml_selected,calibrated,239,1.9610621800878456,0.11297071129707113
common_origins,12,own_scale,F,qrf,calibrated,239,1.9610621800878456,0.11297071129707113
