month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp,scenario
2025-09,ae_relu_1,f05,0.0020074336230685,"[6.408860544539008, 6.407332264490241, 6.408050404326561]",clock_FXKST_USNY_quote
2025-09,ae_relu_2,f07,0.0101727693137716,"[6.407113497962377, 6.422146334373243, 6.410473325225585]",clock_FXKST_USNY_quote
2025-09,ae_tanh_1,f08,0.2898817262536621,"[7.688662199932158, 7.381855543005931, 7.524485517638762]",clock_FXKST_USNY_quote
2025-09,ae_tanh_2,f10,0.1077510071473753,"[8.251577762431763, 8.325273181327773, 8.344044294285235]",clock_FXKST_USNY_quote
2025-09,ae_selected,f07,0.0101727693137716,"[6.407113497962377, 6.422146334373243, 6.410473325225585]",clock_FXKST_USNY_quote
2025-09,ae_reconstruction_selected,f07,0.0101727693137716,"[6.407113497962377, 6.422146334373243, 6.410473325225585]",clock_FXKST_USNY_quote
2025-10,ae_relu_1,f05,57.4044477901049,"[24.04686792902495, 173.08631295531458, 168.8218527000888]",clock_FXKST_USNY_quote
2025-10,ae_relu_2,f07,22.262818078079757,"[172.6150083372198, 176.6476640729979, 122.61112615716561]",clock_FXKST_USNY_quote
2025-10,ae_tanh_1,f08,0.9925505382213808,"[176.67499902404725, 177.40127739634693, 177.84556034883772]",clock_FXKST_USNY_quote
2025-10,ae_tanh_2,f10,0.3788502943602724,"[163.0430302114247, 162.8629287186641, 162.1816195277778]",clock_FXKST_USNY_quote
2025-10,ae_selected,f07,22.262818078079757,"[172.6150083372198, 176.6476640729979, 122.61112615716561]",clock_FXKST_USNY_quote
2025-10,ae_reconstruction_selected,f07,22.262818078079757,"[172.6150083372198, 176.6476640729979, 122.61112615716561]",clock_FXKST_USNY_quote
2025-11,ae_relu_1,f05,0.0016836397344398,"[8.47336921773718, 8.473173188307825, 8.47159659718769]",clock_FXKST_USNY_quote
2025-11,ae_relu_2,f07,0.0002431122409219,"[8.480446937077566, 8.480580559699119, 8.480323567158838]",clock_FXKST_USNY_quote
2025-11,ae_tanh_1,f08,0.3806230448575786,"[11.136104471918475, 11.171579751213224, 11.239999024804588]",clock_FXKST_USNY_quote
2025-11,ae_tanh_2,f10,0.3056889461769899,"[14.652813560422295, 14.614830396444571, 14.736839890842703]",clock_FXKST_USNY_quote
2025-11,ae_selected,f05,0.0016836397344398,"[8.47336921773718, 8.473173188307825, 8.47159659718769]",clock_FXKST_USNY_quote
2025-11,ae_reconstruction_selected,f05,0.0016836397344398,"[8.47336921773718, 8.473173188307825, 8.47159659718769]",clock_FXKST_USNY_quote
2025-12,ae_relu_1,f05,0.0015462267824893,"[15.882609507748251, 15.880286415671293, 15.883951194101297]",clock_FXKST_USNY_quote
2025-12,ae_relu_2,f07,0.0016525127870369,"[15.886901729114085, 15.887745098847391, 15.892749873161803]",clock_FXKST_USNY_quote
2025-12,ae_tanh_1,f08,0.363998779214675,"[16.358699639421605, 16.431089718492018, 16.282341457569657]",clock_FXKST_USNY_quote
2025-12,ae_tanh_2,f10,0.0995771319132846,"[14.73764852337608, 14.828160599140357, 14.801133421986636]",clock_FXKST_USNY_quote
2025-12,ae_selected,f05,0.0015462267824893,"[15.882609507748251, 15.880286415671293, 15.883951194101297]",clock_FXKST_USNY_quote
2025-12,ae_reconstruction_selected,f05,0.0015462267824893,"[15.882609507748251, 15.880286415671293, 15.883951194101297]",clock_FXKST_USNY_quote
2026-01,ae_relu_1,f05,0.0049392786862365,"[8.499362890856347, 8.503467764215538, 8.50604940592302]",clock_FXKST_USNY_quote
2026-01,ae_relu_2,f07,0.0016602478123231,"[8.503801478507354, 8.502316125061647, 8.504759049401347]",clock_FXKST_USNY_quote
2026-01,ae_tanh_1,f08,0.8411935332572288,"[12.666673886522737, 12.469854844880508, 11.556614695836188]",clock_FXKST_USNY_quote
2026-01,ae_tanh_2,f10,0.6533121415373156,"[12.261209094629647, 12.847561660149065, 12.307207213387393]",clock_FXKST_USNY_quote
2026-01,ae_selected,f05,0.0049392786862365,"[8.499362890856347, 8.503467764215538, 8.50604940592302]",clock_FXKST_USNY_quote
2026-01,ae_reconstruction_selected,f05,0.0049392786862365,"[8.499362890856347, 8.503467764215538, 8.50604940592302]",clock_FXKST_USNY_quote
2026-02,ae_relu_1,f05,0.0063006364946884,"[10.13748340105901, 10.145179487845763, 10.134287374446455]",clock_FXKST_USNY_quote
2026-02,ae_relu_2,f06,11.471522090460573,"[6.720301673503683, 20.826914812227287, 10.349569255081963]",clock_FXKST_USNY_quote
2026-02,ae_tanh_1,f08,1.0593096539852105,"[10.124541164841045, 10.124821368739426, 9.924692365527399]",clock_FXKST_USNY_quote
2026-02,ae_tanh_2,f11,0.1249824258686154,"[11.597934318587077, 11.481197093804559, 11.47610880385828]",clock_FXKST_USNY_quote
2026-02,ae_selected,f06,11.471522090460573,"[6.720301673503683, 20.826914812227287, 10.349569255081963]",clock_FXKST_USNY_quote
