method,sample,h,q,term,n,effect,coefficient,ci_low,ci_high,successful,scenario,block_days,refit_first_stage
joint_ols,matched,6,0.1,e_origin,229,1.7621123731197288,0.1822742648318449,-0.6383865699531782,2.7640620439453714,199,clock_UTC_quote,7,True
joint_ols,matched,6,0.1,downside,229,-1.1478249598195749,-53777.17872573481,-7.83612236603658,5.007174421273188,199,clock_UTC_quote,7,True
joint_ols,matched,6,0.1,btc_vol,229,-0.2379703674487834,-109.9499133456832,-3.807949262678528,4.746724149772135,199,clock_UTC_quote,7,True
joint_ols,matched,6,0.1,btc_ret,229,-0.2313459844544997,-43.43496478065416,-1.9245067870703354,2.286915780431328,199,clock_UTC_quote,7,True
joint_ols,matched,6,0.1,account_ls,229,1.1560785207552384,1.9030293512741447,-0.6507514266689759,4.58433590061761,199,clock_UTC_quote,7,True
joint_ols,matched,12,0.1,e_origin,229,2.0713999612831864,0.2142672118277844,-1.1231073330010495,3.3383591017645107,199,clock_UTC_quote,7,True
joint_ols,matched,12,0.1,downside,229,-0.4186347532933549,-19613.61421535862,-2.1119632181691763,5.352964892169198,199,clock_UTC_quote,7,True
joint_ols,matched,12,0.1,btc_vol,229,-0.2756323938985158,-127.35097293543286,-4.685651241796899,1.8760132534474143,199,clock_UTC_quote,7,True
joint_ols,matched,12,0.1,btc_ret,229,-2.092271415638673,-392.8217533756618,-3.9659056202209824,0.6965646935284219,199,clock_UTC_quote,7,True
joint_ols,matched,12,0.1,account_ls,229,0.6756202064599223,1.112143388294418,-1.5143796657334858,3.021910873658114,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.1,e_origin,577,0.654031572278576,0.0685640305694048,-0.5257899057850891,2.259586565694733,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.1,downside,577,-1.4242534070460302,-64492.44617817373,-5.123913599618669,2.1493600475280275,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.1,btc_vol,577,-0.3124789567082099,-143.9087698610691,-2.4669642042668576,3.219961171158803,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.1,btc_ret,577,-0.2810860454148039,-49.17006285025192,-1.1279039824806252,1.403950623939021,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.1,account_ls,577,1.126769888179398,1.8716500332024808,-0.36980822869276986,3.3018229560941803,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.5,e_origin,577,0.7508079171435695,0.0787093760679435,-0.35426811107738204,1.9001364321254348,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.5,downside,577,-2.899832212943553,-131308.98756765437,-6.650044692256017,-0.2829230614512004,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.5,btc_vol,577,1.535475471207399,707.1464540879164,-0.1057803779441342,3.9130371016432326,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.5,btc_ret,577,-0.0494564804361716,-8.651365982292695,-1.043864357621761,0.5611099366507116,199,clock_UTC_quote,3,False
sequential_ols,all,6,0.5,account_ls,577,2.014457731084609,3.346166700781771,0.3777352495671598,3.3433927747976355,199,clock_UTC_quote,3,False
sequential_ols,matched,1,0.1,e_origin,229,3.7198843996451583,0.3846413528246694,-1.5123113205810017,4.598785294767551,199,clock_UTC_quote,3,False
sequential_ols,matched,1,0.1,downside,229,-1.0759666241438164,-50410.51682532053,-9.584488336017975,1.651081997992585,199,clock_UTC_quote,3,False
sequential_ols,matched,1,0.1,btc_vol,229,-0.7529786237885605,-347.90018322143527,-3.1165710349390143,7.359768663345893,199,clock_UTC_quote,3,False
sequential_ols,matched,1,0.1,btc_ret,229,1.195039297046413,224.36736864528305,-0.6860660641835383,3.8182273697389006,199,clock_UTC_quote,3,False
sequential_ols,matched,1,0.1,account_ls,229,2.833798300097357,4.6647362128595375,-0.01123866049550899,4.334106350126514,199,clock_UTC_quote,3,False
sequential_ols,matched,6,0.1,e_origin,229,1.7699739050160428,0.1830178264019914,-1.105435068365696,3.4433009354239763,199,clock_UTC_quote,3,False
sequential_ols,matched,6,0.1,downside,229,-1.1507907530050503,-53916.130217279264,-8.872259879908954,3.6375634036865785,199,clock_UTC_quote,3,False
sequential_ols,matched,6,0.1,btc_vol,229,-0.2365579756834856,-109.29734322164006,-2.4177117962640966,5.2205923096845055,199,clock_UTC_quote,3,False
