mode,definition,information,strategy,calibration,fold,n,loss_bp,below_rate
available_macro,CAP,F,matched_full_spec,calibrated,2026-01,294,1.1878707679009766,0.11224489795918367
available_macro,CAP,F,matched_full_spec,calibrated,2026-02,280,1.2886803216217049,0.08928571428571429
available_macro,CAP,F,matched_full_spec,calibrated,2026-03,201,1.326655448740858,0.08955223880597014
available_macro,CAP,F,ml_selected,calibrated,2025-12,313,1.156262350326301,0.08945686900958466
available_macro,CAP,F,ml_selected,calibrated,2026-01,294,1.1878707679009766,0.11224489795918367
available_macro,CAP,F,ml_selected,calibrated,2026-02,280,1.2886803216217049,0.08928571428571429
available_macro,CAP,F,ml_selected,calibrated,2026-03,201,1.326655448740858,0.08955223880597014
available_macro,CAP,F,qrf,calibrated,2025-12,313,1.156262350326301,0.08945686900958466
available_macro,CAP,F,qrf,calibrated,2026-01,294,1.1878707679009766,0.11224489795918367
available_macro,CAP,F,qrf,calibrated,2026-02,280,1.2745153551269461,0.09642857142857143
available_macro,CAP,F,qrf,calibrated,2026-03,201,1.2881319758317418,0.09950248756218906
available_macro,CAP,F,threshold,calibrated,2025-12,313,1.3587173581769376,0.0926517571884984
available_macro,CAP,F,threshold,calibrated,2026-01,294,1.2330086893259953,0.11564625850340136
available_macro,CAP,F,threshold,calibrated,2026-02,280,1.4213724855234622,0.11071428571428571
available_macro,CAP,F,threshold,calibrated,2026-03,201,1.2825573321661767,0.0845771144278607
available_macro,CAP,R,boosting,calibrated,2025-12,313,1.206286079091102,0.08945686900958466
