mode,definition,comparison,primary_comparison,calibration,n,reference_information,reference_strategy,candidate_information,candidate_strategy,seed,difference_bp,improvement_pct
available_macro,EQ,matched_position,False,calibrated,1088,B,matched_full_spec,F,matched_full_spec,20260928,0.009616800809252535,0.5672004736906766
available_macro,EQ,matched_total,False,calibrated,1088,R,matched_full_spec,F,matched_full_spec,20260925,-0.00755507336968142,-0.4491084875767326
available_macro,EQ,matched_total,False,calibrated,1088,R,matched_full_spec,F,matched_full_spec,20260926,0.00037814634953581283,0.022472339045120915
available_macro,EQ,matched_total,False,calibrated,1088,R,matched_full_spec,F,matched_full_spec,20260927,-0.007783620503829969,-0.4628085160576223
available_macro,EQ,matched_total,False,calibrated,1088,R,matched_full_spec,F,matched_full_spec,20260928,0.0011357908009128614,0.06732589769326003
available_macro,PCA,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,20260925,0.04908381476202561,2.6526112342088903
available_macro,PCA,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,20260925,0.055804130866456525,3.0462156440914434
available_macro,PCA,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,20260925,0.02262764654652938,1.2561756649440925
available_macro,PCA,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,20260925,0.002572140539164769,0.14460913906260142
available_macro,PCA,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,20260925,0.025199787085694147,1.3989682591925012
available_macro,PCA,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,20260925,-0.045354468248573365,-2.6204973501847695
available_macro,PCA,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,20260925,0.04908381476202561,2.6526112342088903
available_macro,PCA,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,20260925,0.01690962261049167,0.9138379956874387
available_macro,PCA,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,20260925,0.011315209911086033,0.632134686221153
available_macro,PCA,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,20260925,-0.02691074158232687,-1.5033935136683718
available_macro,PCA,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,20260925,0.055804130866456525,3.0462156440914434
