definition,policy,family,fold,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
EQ,legacy,linear,2025-12,139,2.7544244733491072,0.08633093525179857,-15.711196076778277,1.779138944985971,0.9752855283631365,0.06330935251798561,0.5793654440601517,0.0762589928057554,0.5552840493979184,0.05395683453237411,0.36354876794528773,48.0,116.0,46.0,70.0,2.0,29.0,95.0,25.0,70.0,4.0,8.0,53.0,5.0,48.0,3.0,0.01366906474820144,0.03525179856115108
EQ,legacy,linear,2026-01,137,1.689924826663614,0.072992700729927,-12.662921375569201,1.3977468233200312,0.29217800334358307,0.07372262773722628,0.0,0.09197080291970801,0.1097120422447766,0.013138686131386862,0.028161535771752223,35.0,136.0,35.0,101.0,0.0,17.0,113.0,14.0,99.0,3.0,2.0,0.0,0.0,0.0,2.0,0.027007299270073004,0.0781021897810219
EQ,legacy,linear,2026-02,128,2.201939631829208,0.1171875,-16.411913284292794,1.7561851991535073,0.4457544326757004,0.06796875,0.0,0.06640625,0.0,0.04687500000000001,0.14856919300690774,40.0,127.0,40.0,87.0,0.0,27.0,112.0,27.0,85.0,0.0,13.0,33.0,9.0,24.0,4.0,0.017187499999999994,0.11562499999999999
EQ,legacy,linear,2026-03,105,2.070966094152966,0.1619047619047619,-12.906759490629717,1.2231653594366743,0.8478007347162917,0.039999999999999994,0.0,0.05238095238095238,0.10114824817545078,0.06380952380952382,0.3420766688270154,41.0,83.0,41.0,42.0,0.0,31.0,66.0,29.0,37.0,2.0,16.0,23.0,10.0,13.0,6.0,0.06190476190476191,0.07714285714285714
EQ,legacy,ml_selected,2025-12,139,2.176910461076422,0.07553956834532374,-12.664614222964852,1.447195176915494,0.7297152841609277,0.05719424460431655,0.06787761954427934,0.06366906474820144,0.5552840493979184,0.04568345323741008,0.3730210628485054,48.0,117.5,47.0,70.5,1.0,29.0,77.5,25.0,52.5,4.0,8.0,29.0,3.75,25.25,4.25,0.024460431654676262,0.04316546762589928
EQ,legacy,ml_selected,2026-01,137,1.3936107203243608,0.1332116788321168,-8.376475715975376,0.9823353033226615,0.41127541700169934,0.0697080291970803,0.056032720185297626,0.054562043795620435,0.08277360740714391,0.0040145985401459855,0.0,35.0,100.5,32.0,68.5,3.0,17.0,41.75,12.0,29.75,5.0,2.0,7.5,2.0,5.5,0.0,0.03321167883211679,0.04927007299270072
EQ,legacy,ml_selected,2026-02,128,1.7839725041349799,0.07421875,-13.985422282593266,1.4960042962311269,0.28796820790385325,0.0625,0.006092170462267704,0.0427734375,0.0,0.0171875,0.0,40.0,110.0,39.0,71.0,1.0,27.0,81.75,27.0,54.75,0.0,13.0,35.0,13.0,22.0,0.0,0.025781250000000006,0.06484375
EQ,legacy,ml_selected,2026-03,105,2.152190415611706,0.13095238095238096,-14.51758332372561,1.3762619365611783,0.7759284790505272,0.05142857142857142,0.0,0.06523809523809525,0.15569197949451632,0.04357142857142857,0.1664698099547356,41.0,95.0,41.0,54.0,0.0,31.0,69.5,28.0,41.5,3.0,16.0,24.25,12.25,12.0,3.75,0.030952380952380953,0.05095238095238095
EQ,legacy,state_hist,2025-12,139,2.1462304454811854,0.07194244604316546,-12.694619350812351,1.4468276368622452,0.6994028086189403,0.0633093525179856,0.0,0.06690647482014389,0.5552840493979184,0.04604316546762589,0.3657993413104519,48.0,136.0,48.0,88.0,0.0,29.0,82.0,25.0,57.0,4.0,8.0,32.0,4.0,28.0,4.0,0.02805755395683454,0.039568345323741004
EQ,legacy,state_hist,2026-01,137,1.402610326222795,0.0948905109489051,-9.664021896015267,1.099114420116095,0.30349590610669996,0.07445255474452554,0.05968059603808838,0.05912408759124089,0.08899846028838804,0.00948905109489051,0.0,35.0,117.0,33.0,84.0,2.0,17.0,48.0,12.0,36.0,5.0,2.0,15.0,2.0,13.0,0.0,0.005109489051094901,0.008029197080291971
