definition,family,rule,sample,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
CAP,historical,local_scaled180,full,509,1.4615555226995534,0.11198428290766209,-9.950456931398667,1.0558450988603647,0.40571042383918904,0.0699410609037328,0.04248255996301964,0.05265225933202358,0.06529905752636059,0.020432220039292733,0.11215869719282015,143.0,459.0,139.0,320.0,4.0,71.0,229.0,60.0,169.0,11.0,12.0,6.0,1.0,5.0,11.0,0.011984282907662083,0.05756385068762279
CAP,historical,local_scaled180,2025-12,139,1.4864580177669573,0.09352517985611511,-11.830304785612304,1.2021254669826804,0.2843325507842769,0.06690647482014388,0.0,0.06043165467625898,0.040542066292334006,0.013669064748201438,0.03292301868384474,44.0,137.0,44.0,93.0,0.0,24.0,88.0,22.0,66.0,2.0,2.0,1.0,0.0,1.0,2.0,0.006474820143884896,0.08129496402877698
CAP,historical,local_scaled180,2026-01,137,1.1768325365515353,0.06569343065693431,-8.9729921071261,0.9932083735375473,0.183624163013988,0.06715328467153284,0.0,0.03722627737226278,0.06541050393805095,0.006569343065693431,0.011267890936370904,34.0,126.0,34.0,92.0,0.0,10.0,41.0,8.0,33.0,2.0,1.0,0.0,0.0,0.0,1.0,0.034306569343065696,0.0343065693430657
CAP,historical,local_scaled180,2026-02,128,1.4423934453330989,0.1171875,-9.509956153268998,1.0390716579147798,0.4033217874183191,0.06796875,0.0,0.0578125,0.06138434303313045,0.0140625,0.06122156833654879,32.0,119.0,32.0,87.0,0.0,16.0,60.0,13.0,47.0,3.0,2.0,0.0,0.0,0.0,2.0,0.017187499999999994,0.0625
CAP,historical,local_scaled180,2026-03,105,1.8234445530882737,0.19047619047619047,-9.274246729400996,0.964371390681878,0.8590731624063955,0.08,0.20593926686835234,0.05619047619047619,0.10269941065266132,0.05523809523809524,0.41078490922599975,33.0,77.0,29.0,48.0,4.0,21.0,40.0,17.0,23.0,4.0,7.0,5.0,1.0,4.0,6.0,0.09047619047619046,0.09047619047619047
CAP,historical,local_scaled_shrink180,full,509,1.5919916055041152,0.09430255402750491,-10.979468762842144,1.1614997719707336,0.43049183353338216,0.0719056974459725,0.0,0.06267190569744598,0.04079762216542067,0.021218074656188607,0.11729322720000396,143.0,509.0,143.0,366.0,0.0,71.0,310.0,63.0,247.0,8.0,12.0,0.0,0.0,0.0,12.0,0.005697445972495094,0.08349705304518663
CAP,historical,local_scaled_shrink180,2025-12,139,1.5628571269166482,0.09352517985611511,-12.457839184994697,1.2662434738420647,0.2966136530745832,0.0683453237410072,0.0,0.07913669064748201,0.016182366799599484,0.012949640287769784,0.03292301868384474,44.0,139.0,44.0,95.0,0.0,24.0,124.0,23.0,101.0,1.0,2.0,0.0,0.0,0.0,2.0,0.006474820143884896,0.10431654676258993
CAP,historical,local_scaled_shrink180,2026-01,137,1.2687978954358845,0.029197080291970802,-10.7160793764593,1.1592827636659702,0.10951513176991441,0.07518248175182482,0.0,0.04817518248175183,0.030356150283688967,0.006569343065693431,0.011267890936370904,34.0,137.0,34.0,103.0,0.0,10.0,66.0,9.0,57.0,1.0,1.0,0.0,0.0,0.0,1.0,0.07080291970802921,0.07080291970802921
CAP,historical,local_scaled_shrink180,2026-02,128,1.565914408806199,0.125,-9.487918231000073,1.0494403412578865,0.5164740675483126,0.075,0.0,0.05625000000000001,0.06138434303313045,0.0140625,0.06122156833654879,32.0,128.0,32.0,96.0,0.0,16.0,58.0,13.0,45.0,3.0,2.0,0.0,0.0,0.0,2.0,0.024999999999999994,0.0859375
CAP,historical,local_scaled_shrink180,2026-03,105,2.0840402910311533,0.14285714285714285,-11.184319480280516,1.162337512055323,0.9217027789758302,0.06857142857142856,0.0,0.06761904761904763,0.061910973332844794,0.060000000000000005,0.43567515468939555,33.0,105.0,33.0,72.0,0.0,21.0,62.0,18.0,44.0,3.0,7.0,0.0,0.0,0.0,7.0,0.042857142857142844,0.09619047619047619
CAP,historical,local_shrink180,full,509,1.6025708373941496,0.09233791748526522,-10.993029294809695,1.1637781430368166,0.4387926943573331,0.0719056974459725,0.0,0.0636542239685658,0.04577079463795145,0.021218074656188607,0.11729322720000396,143.0,509.0,143.0,366.0,0.0,71.0,305.0,62.0,243.0,9.0,12.0,0.0,0.0,0.0,12.0,0.007662082514734783,0.08546168958742632
CAP,historical,local_shrink180,2025-12,139,1.592271423489541,0.10071942446043165,-12.714040818820587,1.2922430505436844,0.3000283729458565,0.0683453237410072,0.0,0.0841726618705036,0.016182366799599484,0.012949640287769784,0.03292301868384474,44.0,139.0,44.0,95.0,0.0,24.0,131.0,23.0,108.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0007194244604316474,0.11151079136690648
CAP,historical,local_shrink180,2026-01,137,1.264914577298237,0.021897810218978103,-10.654411935444973,1.153344362160916,0.11157021513732113,0.07518248175182482,0.0,0.04817518248175183,0.030356150283688967,0.006569343065693431,0.011267890936370904,34.0,137.0,34.0,103.0,0.0,10.0,66.0,9.0,57.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0781021897810219,0.0781021897810219
CAP,historical,local_shrink180,2026-02,128,1.5703463892433098,0.1171875,-9.524468676121675,1.0531730793625418,0.517173309880768,0.075,0.0,0.06015625000000001,0.08116047419342867,0.0140625,0.06122156833654879,32.0,128.0,32.0,96.0,0.0,16.0,53.0,12.0,41.0,4.0,2.0,0.0,0.0,0.0,2.0,0.017187499999999994,0.078125
CAP,historical,local_shrink180,2026-03,105,2.0960494614816554,0.14285714285714285,-10.94679820516702,1.1421615143401582,0.953887947141497,0.06857142857142856,0.0,0.06095238095238095,0.061910973332844794,0.060000000000000005,0.43567515468939555,33.0,105.0,33.0,72.0,0.0,21.0,55.0,18.0,37.0,3.0,7.0,0.0,0.0,0.0,7.0,0.042857142857142844,0.09619047619047619
