task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
own_residual,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,0.012978953302747401,0.6889213159917532,-0.01148580774249294,0.035724376264523156
own_residual,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,0.012978953302747401,0.6889213159917532,-0.00690833225980043,0.03388908538779768
own_residual,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.007256150037351597,-0.18646898749626625,-0.03595017257483931,0.02038919063079845
own_residual,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.007256150037351597,-0.18646898749626625,-0.037906248408710666,0.01964561164156467
own_residual,pca_1,with_positioning,linear_qr,0.1,add_positioning,3,577,0.0012503979002804633,0.07327322986139279,-0.0011017757893167029,0.003716144148908331
own_residual,pca_1,with_positioning,linear_qr,0.1,add_positioning,7,577,0.0012503979002804633,0.07327322986139279,-0.0007865027981435831,0.003569543495239377
own_residual,pca_1,with_positioning,linear_qr,0.5,add_positioning,3,577,-0.019760888583502726,-0.5061222670981432,-0.04768660307217461,0.002663679280877467
own_residual,pca_1,with_positioning,linear_qr,0.5,add_positioning,7,577,-0.019760888583502726,-0.5061222670981432,-0.04797749564287781,0.002543763930844842
own_residual,pca_1,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,0.014184200907608972,0.7455302397914688,-0.014892654963378995,0.04440103641471245
own_residual,pca_1,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,0.014184200907608972,0.7455302397914688,-0.0070440551353302934,0.037104318404786674
own_residual,pca_1,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,0.004548426861891325,0.11793132875719642,-0.022611840925089915,0.029792306544033424
own_residual,pca_1,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,0.004548426861891325,0.11793132875719642,-0.026098883262840333,0.029599841547263733
own_residual,pca_2,with_positioning,linear_qr,0.1,add_positioning,3,577,0.0017731972907348824,0.13313018328939322,-0.0004285259926050214,0.004380304421385681
