model,month,n,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24
linear_tick_20260910_raw,2026-03,443,1.843687403683601,1.8106108110469703,0.7855530474040632,27.525692866564334,2.003340046555558,2.4342810004344106,2.12591646292529,4.832444589240287,2.2224880922676324,6.522891811000575
linear_tick_20260910_cal,2026-01,699,1.417812779711783,1.3536702138530032,0.8454935622317596,23.036568505519515,1.5610697278041985,2.485415979857438,1.6823614218508955,4.438176973694896,1.7244771287070193,5.251081110581819
linear_tick_20260910_cal,2026-02,672,1.8529733020399324,1.8414877971777064,0.7797619047619048,26.726508715634946,2.0336941783435933,2.6303439622833613,2.2258994857965155,5.362460955267861,2.28577862882399,6.672986948773975
linear_tick_20260910_cal,2026-03,443,1.8527747403438004,1.8112024976421779,0.7923250564334086,28.49862193162246,2.0100620332916934,2.4342810004344106,2.1291464090726464,4.832444589240287,2.2287709801792963,6.522891811000575
linear_tick_20260911_raw,2026-01,699,1.3952928733768484,1.3476535261254428,0.8326180257510729,22.05993884946826,1.5292069430073711,2.2690070006298235,1.6435744233382672,4.093409241524888,1.705172846529315,5.1150075478615165
linear_tick_20260911_raw,2026-02,672,1.92168226967372,1.8598861235438462,0.7589285714285714,26.473427661650238,2.086387397064103,2.5467414600508556,2.2045313225279566,4.692217955986659,2.2711927452141865,6.119807688962846
linear_tick_20260911_raw,2026-03,443,1.8594742659527872,1.8631829776076063,0.7900677200902935,28.350282321396048,1.9948623308312077,2.0345517819406753,2.171868657919746,4.049753841374313,2.1815551541974387,4.425716425979648
linear_tick_20260911_cal,2026-01,699,1.4050481043799008,1.3610747413620643,0.844062947067239,22.513269452175837,1.538261135723605,2.2690070006298235,1.6532479683474008,4.093409241524888,1.713753170405037,5.1150075478615165
linear_tick_20260911_cal,2026-02,672,1.8744964469652008,1.82825420260325,0.7693452380952381,26.76615940111127,2.0447946926536087,2.5467414600508556,2.1668572659652092,4.692217955986659,2.2448441533630197,6.119807688962846
linear_tick_20260911_cal,2026-03,443,1.8922600097505642,1.8934655201290735,0.7945823927765236,29.308806430527724,2.0109218770185353,2.0345517819406753,2.155651150521988,4.049753841374313,2.186199290552668,4.425716425979648
linear_tick_20260912_raw,2026-01,699,1.3977636856361175,1.3371319914570787,0.804005722460658,20.808484607158984,1.5617598197703093,2.5226979528544455,1.745796742136472,4.5668735592832554,1.817603661506005,5.756781651056205
linear_tick_20260912_raw,2026-02,672,1.8486661290766038,1.8395129843871876,0.7678571428571429,26.72276432634819,2.0403548180918794,3.03839195342291,2.188616697204901,5.198448081811269,2.2335169676807785,6.259283382268179
linear_tick_20260912_raw,2026-03,443,1.825615082264336,1.7912216570924504,0.7945823927765236,27.503209933201294,2.033682039793175,3.2338206245990695,2.1869286875010765,5.557763672305553,2.240579935624265,6.71383251724071
linear_tick_20260912_cal,2026-01,699,1.4101132369229679,1.3413923861585673,0.7997138769670958,20.514755811132098,1.580610814569355,2.5226979528544455,1.7649565870868997,4.5668735592832554,1.8424671541895044,5.756781651056205
linear_tick_20260912_cal,2026-02,672,1.8451525172902281,1.8470794774707513,0.7931547619047619,27.761773345563057,2.032011304797888,3.03839195342291,2.1736289543349714,5.198448081811269,2.2257701415493067,6.259283382268179
linear_tick_20260912_cal,2026-03,443,1.8311169223718629,1.7942901163329024,0.7990970654627539,28.277574971013625,2.036741483357964,3.2338206245990695,2.182283780402628,5.557763672305553,2.2445791425615,6.71383251724071
linear_tick_ensemble_raw,2026-01,699,1.390870138981186,1.3366013096857576,0.8283261802575107,21.645402819358797,1.5372695624404806,2.423385276303271,1.6728660981931796,4.36615325816768,1.727937807589866,5.374290103166514
linear_tick_ensemble_raw,2026-02,672,1.8614160790838798,1.836784588857926,0.7708333333333334,26.57560726462139,2.0359800109554422,2.675876519036671,2.18998686816281,5.078260287405952,2.243490472880455,6.350461643839639
linear_tick_ensemble_raw,2026-03,443,1.8355095688473686,1.8110176035361356,0.7900677200902935,27.793061707053887,1.9940167767979857,2.5375285690399463,2.1380410402959202,4.8051827310887925,2.1848170320500087,5.87183597986639
linear_tick_ensemble_cal,2026-01,699,1.400322809289344,1.3406065455872618,0.8311874105865522,21.973760874377273,1.5463921603985615,2.423385276303271,1.681644717621028,4.36615325816768,1.7379933016348192,5.374290103166515
