method,scope,algorithm,scenario,period,n,zero_mse,probe_mse,past_mean_mse,skill_vs_zero,skill_vs_past_mean
ae_selected,all_references,lightgbm,clock_NY_quote,2026-01,346,70.73061716413424,78.01655374238149,586.0174367339415,-0.10300965650193361,0.8668699105999437
ae_selected,all_references,lightgbm,clock_NY_quote,2026-02,324,85.74859226621066,86.04456727015257,528.778554248138,-0.0034516602094532,0.8372767454752434
ae_selected,all_references,lightgbm,clock_NY_quote,2026-03,237,113.73453968329643,109.10981712595121,201.41799510686351,0.04066242823176813,0.45829161357671966
ae_selected,all_references,ridge,clock_NY_quote,all,907,87.33233003085331,1286.6272404510055,465.0742552664467,-13.73254223260112,-1.7664985233678032
ae_selected,all_references,ridge,clock_NY_quote,2026-01,346,70.73061716413424,515.6042691933192,586.0174367339415,-6.289689951337925,0.12015541369051563
ae_selected,all_references,ridge,clock_NY_quote,2026-02,324,85.74859226621066,1126.7877501297196,528.778554248138,-12.140597651230848,-1.1309255851570637
ae_selected,all_references,ridge,clock_NY_quote,2026-03,237,113.73453968329643,2630.770459519596,201.41799510686351,-22.13079621059004,-12.061248366233738
ae_selected,mean_market,lightgbm,clock_NY_quote,all,907,87.33233003085331,90.91307330195077,465.0742552664467,-0.0410013481815088,0.8045192304831719
ae_selected,mean_market,lightgbm,clock_NY_quote,2026-01,346,70.73061716413424,79.46700063663108,586.0174367339415,-0.12351629072065906,0.8643948188990322
ae_selected,mean_market,lightgbm,clock_NY_quote,2026-02,324,85.74859226621066,87.57909403209018,528.778554248138,-0.02134730982167765,0.8343747239208339
ae_selected,mean_market,lightgbm,clock_NY_quote,2026-03,237,113.73453968329643,112.18121855779657,201.41799510686351,0.013657426581452081,0.44304272069495
ae_selected,mean_market,ridge,clock_NY_quote,all,907,87.33233003085331,1276.6022342691044,465.0742552664467,-13.617750766733218,-1.744942812492864
ae_selected,mean_market,ridge,clock_NY_quote,2026-01,346,70.73061716413424,547.8899809301746,586.0174367339415,-6.746150152468854,0.06506198180085421
