method,scope,algorithm,block_days,n,delta,relative_pct,ci_low,ci_high,scenario
sequential_ols,mean_market,ridge,3,912,2.1524926776225475,2.278251015215029,0.3495985310242589,4.242405529048526,clock_FXKST_USNY_quote
sequential_ols,mean_market,ridge,7,912,2.1524926776225475,2.278251015215029,0.2838256586672226,4.241975427282661,clock_FXKST_USNY_quote
sequential_ols,mean_market,lightgbm,3,912,3.786391204240162,4.007609268427015,0.1839480380895071,7.703198612988277,clock_FXKST_USNY_quote
sequential_ols,mean_market,lightgbm,7,912,3.786391204240162,4.007609268427015,0.6168495093938148,7.062697464219106,clock_FXKST_USNY_quote
sequential_ols,all_references,ridge,3,912,-45.58718102901966,-48.25058990438416,-54.81995772622421,-36.84171206655122,clock_FXKST_USNY_quote
sequential_ols,all_references,ridge,7,912,-45.58718102901966,-48.25058990438416,-52.82442514623295,-38.55573163435295,clock_FXKST_USNY_quote
sequential_ols,all_references,lightgbm,3,912,-11.58563645400651,-12.262521627904508,-16.89470272721466,-6.508247885901771,clock_FXKST_USNY_quote
sequential_ols,all_references,lightgbm,7,912,-11.58563645400651,-12.262521627904508,-16.876607326986278,-6.883777523951784,clock_FXKST_USNY_quote
pca_1,mean_market,ridge,3,912,1.97955796328715,2.119749249431128,0.072261885662692,4.126534424217222,clock_FXKST_USNY_quote
pca_1,mean_market,ridge,7,912,1.97955796328715,2.119749249431128,0.0632510325562741,4.155176084213833,clock_FXKST_USNY_quote
pca_1,mean_market,lightgbm,3,912,3.459175631989188,3.704152687392605,0.0656310222807289,7.10219118058686,clock_FXKST_USNY_quote
pca_1,mean_market,lightgbm,7,912,3.459175631989188,3.704152687392605,0.4528577985722256,6.528830205546866,clock_FXKST_USNY_quote
pca_1,all_references,ridge,3,912,-44.30796875838556,-47.44583652576865,-53.35447774667126,-35.70564332653512,clock_FXKST_USNY_quote
pca_1,all_references,ridge,7,912,-44.30796875838556,-47.44583652576865,-51.53174103660602,-37.29138182982822,clock_FXKST_USNY_quote
pca_1,all_references,lightgbm,3,912,-11.679441882813595,-12.50657400491452,-16.928842869817256,-6.80539638532614,clock_FXKST_USNY_quote
pca_1,all_references,lightgbm,7,912,-11.679441882813595,-12.50657400491452,-16.771729581188282,-7.12968172991283,clock_FXKST_USNY_quote
pca_2,mean_market,ridge,3,912,1.248247753396837,2.547185278060294,-0.4855178740632569,3.2833116765346126,clock_FXKST_USNY_quote
pca_2,mean_market,ridge,7,912,1.248247753396837,2.547185278060294,-0.5427193187946222,3.4564347233554216,clock_FXKST_USNY_quote
pca_2,mean_market,lightgbm,3,912,0.5878930864521743,1.1996597717154769,-1.3442051572193612,2.651215415495628,clock_FXKST_USNY_quote
pca_2,mean_market,lightgbm,7,912,0.5878930864521743,1.1996597717154769,-1.1639400945885965,2.289693197548451,clock_FXKST_USNY_quote
pca_2,all_references,ridge,3,912,4.769232624744187,9.732137787818774,2.3877332453015225,7.356273893153087,clock_FXKST_USNY_quote
pca_2,all_references,ridge,7,912,4.769232624744187,9.732137787818774,2.481433758663045,7.354329487126217,clock_FXKST_USNY_quote
pca_2,all_references,lightgbm,3,912,0.7127693706498726,1.4544834089474732,-1.616819988061527,3.026246460823984,clock_FXKST_USNY_quote
pca_2,all_references,lightgbm,7,912,0.7127693706498726,1.4544834089474732,-1.1297949515802483,2.6008615107987287,clock_FXKST_USNY_quote
ae_selected,mean_market,ridge,3,912,1247.8025587479417,232.1347730493193,896.0971646143456,1621.262547843192,clock_FXKST_USNY_quote
ae_selected,mean_market,ridge,7,912,1247.8025587479417,232.1347730493193,883.6590928666853,1638.767423339275,clock_FXKST_USNY_quote
ae_selected,mean_market,lightgbm,3,912,-462.1072268760032,-85.9680527846876,-504.707602469844,-419.8988593972983,clock_FXKST_USNY_quote
ae_selected,mean_market,lightgbm,7,912,-462.1072268760032,-85.9680527846876,-494.68378959201794,-428.0107753824334,clock_FXKST_USNY_quote
ae_selected,all_references,ridge,3,912,1312.143387877742,244.10441012302263,963.3771186996872,1686.8799537545751,clock_FXKST_USNY_quote
ae_selected,all_references,ridge,7,912,1312.143387877742,244.10441012302263,945.4861103284376,1720.4377087271498,clock_FXKST_USNY_quote
ae_selected,all_references,lightgbm,3,912,-462.68856688872097,-86.07620229197194,-504.9486088788496,-420.4250559390133,clock_FXKST_USNY_quote
ae_selected,all_references,lightgbm,7,912,-462.68856688872097,-86.07620229197194,-495.8268895749529,-428.0889699960193,clock_FXKST_USNY_quote
joint_ols,mean_market,ridge,3,912,2.032743981396394,2.1473662649472147,0.1741456531403427,4.163125502062359,clock_FXKST_USNY_quote
joint_ols,mean_market,ridge,7,912,2.032743981396394,2.1473662649472147,0.1453843586146169,4.15519136980991,clock_FXKST_USNY_quote
joint_ols,mean_market,lightgbm,3,912,3.604503749286568,3.807754357622844,0.1451051406126464,7.316193538915644,clock_FXKST_USNY_quote
joint_ols,mean_market,lightgbm,7,912,3.604503749286568,3.807754357622844,0.5202596860843115,6.743251226682747,clock_FXKST_USNY_quote
joint_ols,all_references,ridge,3,912,-45.69955475515871,-48.27645935860694,-54.92779926255948,-36.919459988614605,clock_FXKST_USNY_quote
joint_ols,all_references,ridge,7,912,-45.69955475515871,-48.27645935860694,-52.968519820603134,-38.643477061431525,clock_FXKST_USNY_quote
joint_ols,all_references,lightgbm,3,912,-11.63958919147525,-12.295921865402956,-16.944423237701326,-6.632064717104333,clock_FXKST_USNY_quote
joint_ols,all_references,lightgbm,7,912,-11.63958919147525,-12.295921865402956,-16.90983036051555,-6.975924622231068,clock_FXKST_USNY_quote
sequential_ols,mean_market,ridge,3,906,-0.4998781233644022,-0.4795079373705107,-4.89830614497622,4.384851307234798,clock_NY_macro_end1h_quote
sequential_ols,mean_market,ridge,7,906,-0.4998781233644022,-0.4795079373705107,-4.28777067869528,3.9531372719700735,clock_NY_macro_end1h_quote
sequential_ols,mean_market,lightgbm,3,906,-0.1652626967749355,-0.1585281914749237,-4.367478725632384,4.3356958596176565,clock_NY_macro_end1h_quote
sequential_ols,mean_market,lightgbm,7,906,-0.1652626967749355,-0.1585281914749237,-4.533402443583094,4.854646041807202,clock_NY_macro_end1h_quote
sequential_ols,all_references,ridge,3,906,-51.19822106903356,-49.11187794460697,-61.54296137095061,-41.36842624682107,clock_NY_macro_end1h_quote
sequential_ols,all_references,ridge,7,906,-51.19822106903356,-49.11187794460697,-57.65753178373421,-44.92869110285962,clock_NY_macro_end1h_quote
sequential_ols,all_references,lightgbm,3,906,-11.984606282708716,-11.496229921288371,-19.62213778144028,-5.244803125249344,clock_NY_macro_end1h_quote
sequential_ols,all_references,lightgbm,7,906,-11.984606282708716,-11.496229921288371,-20.363831104637143,-4.184919450420174,clock_NY_macro_end1h_quote
pca_1,mean_market,ridge,3,906,-0.8839873165061689,-0.858049187934947,-5.453811234449306,4.049980156270563,clock_NY_macro_end1h_quote
pca_1,mean_market,ridge,7,906,-0.8839873165061689,-0.858049187934947,-4.73835837959175,3.634969345775418,clock_NY_macro_end1h_quote
pca_1,mean_market,lightgbm,3,906,-0.5885692686488389,-0.571299354162258,-4.822103032550468,3.943475941316024,clock_NY_macro_end1h_quote
pca_1,mean_market,lightgbm,7,906,-0.5885692686488389,-0.571299354162258,-4.935681534131695,4.473671524691043,clock_NY_macro_end1h_quote
pca_1,all_references,ridge,3,906,-49.80644064861225,-48.34501033496858,-60.06228522555608,-39.98993249436699,clock_NY_macro_end1h_quote
pca_1,all_references,ridge,7,906,-49.80644064861225,-48.34501033496858,-56.09688384919193,-43.58858130153838,clock_NY_macro_end1h_quote
pca_1,all_references,lightgbm,3,906,-11.77466012879544,-11.429165750538706,-19.464140303437027,-4.975660428544379,clock_NY_macro_end1h_quote
pca_1,all_references,lightgbm,7,906,-11.77466012879544,-11.429165750538706,-20.164507283763527,-3.897913351464671,clock_NY_macro_end1h_quote
pca_2,mean_market,ridge,3,906,-0.6866391743175855,-1.2647297378135438,-4.859827608086313,3.826532533170999,clock_NY_macro_end1h_quote
pca_2,mean_market,ridge,7,906,-0.6866391743175855,-1.2647297378135438,-4.391152933684319,3.8059933289769647,clock_NY_macro_end1h_quote
pca_2,mean_market,lightgbm,3,906,-2.230188516904771,-4.107813599570661,-5.390019961008784,1.0698539101815272,clock_NY_macro_end1h_quote
pca_2,mean_market,lightgbm,7,906,-2.230188516904771,-4.107813599570661,-5.150151402703559,1.3918232961124568,clock_NY_macro_end1h_quote
pca_2,all_references,ridge,3,906,2.086786331563679,3.843679225867649,-2.1053347658144963,6.515331000427103,clock_NY_macro_end1h_quote
pca_2,all_references,ridge,7,906,2.086786331563679,3.843679225867649,-1.3523947063685158,5.772192378791065,clock_NY_macro_end1h_quote
pca_2,all_references,lightgbm,3,906,-1.6768864827201546,-3.088679296140504,-5.153153005922819,2.035907396147974,clock_NY_macro_end1h_quote
pca_2,all_references,lightgbm,7,906,-1.6768864827201546,-3.088679296140504,-5.000710087105042,2.5280674583555345,clock_NY_macro_end1h_quote
ae_selected,mean_market,ridge,3,906,675.3527063445188,161.83775574367044,416.45669351313165,946.3494287246054,clock_NY_macro_end1h_quote
ae_selected,mean_market,ridge,7,906,675.3527063445188,161.83775574367044,405.48052101689154,976.7657168834976,clock_NY_macro_end1h_quote
ae_selected,mean_market,lightgbm,3,906,-333.9399025119769,-80.02349567579707,-370.1181112437649,-299.7941891601893,clock_NY_macro_end1h_quote
ae_selected,mean_market,lightgbm,7,906,-333.9399025119769,-80.02349567579707,-358.31788848879086,-308.8205775726546,clock_NY_macro_end1h_quote
ae_selected,all_references,ridge,3,906,704.2202974633672,168.75542426933276,447.8544563328734,971.354088040329,clock_NY_macro_end1h_quote
ae_selected,all_references,ridge,7,906,704.2202974633672,168.75542426933276,446.7395166950403,992.729299296794,clock_NY_macro_end1h_quote
ae_selected,all_references,lightgbm,3,906,-336.00810925084795,-80.51910920320043,-372.0634486291413,-301.79210760424894,clock_NY_macro_end1h_quote
ae_selected,all_references,lightgbm,7,906,-336.00810925084795,-80.51910920320043,-361.1014403213265,-310.7669375864326,clock_NY_macro_end1h_quote
joint_ols,mean_market,ridge,3,906,-0.9065927705841048,-0.8649602999077967,-5.5165376645171325,4.064540364595725,clock_NY_macro_end1h_quote
joint_ols,mean_market,ridge,7,906,-0.9065927705841048,-0.8649602999077967,-4.771275938493794,3.628983693965328,clock_NY_macro_end1h_quote
joint_ols,mean_market,lightgbm,3,906,-0.5596685420930207,-0.5339674942541685,-4.82265244721707,3.953550280505666,clock_NY_macro_end1h_quote
joint_ols,mean_market,lightgbm,7,906,-0.5596685420930207,-0.5339674942541685,-5.0394549064009935,4.536663347676574,clock_NY_macro_end1h_quote
joint_ols,all_references,ridge,3,906,-51.61387244396148,-49.24366489241715,-62.02650346786274,-41.61962928363876,clock_NY_macro_end1h_quote
joint_ols,all_references,ridge,7,906,-51.61387244396148,-49.24366489241715,-58.03360899226213,-45.287985647694455,clock_NY_macro_end1h_quote
joint_ols,all_references,lightgbm,3,906,-12.159888408197832,-11.601483119729332,-20.06870568877968,-5.199667112879924,clock_NY_macro_end1h_quote
joint_ols,all_references,lightgbm,7,906,-12.159888408197832,-11.601483119729332,-20.835098825984687,-4.031385949489899,clock_NY_macro_end1h_quote
