model,month,epoch,train_loss_scaled,clean_loss_scaled,candidate_mean_loss_scaled,candidate_max_loss_scaled,argmax_counts
gru_shuffled_max_20260910,2026-01,3,0.1903278972531491,0.1884936151551101,0.18853067989375505,0.1921621776294065,"[0, 2, 0, 104, 62, 160, 85, 228, 179, 1084, 1653]"
gru_tick_mean_20260911,2026-01,1,0.19854297232755222,0.1985409237509334,0.19854502454462902,0.19960318245192676,"[128, 0, 0, 16, 69, 16, 20, 23, 87, 1647, 1551]"
gru_tick_max_20260911,2026-01,1,0.1990104587536566,0.19880955529943556,0.1988113813054069,0.19921136170097842,"[128, 0, 0, 187, 224, 41, 36, 432, 458, 858, 1193]"
gru_shuffled_mean_20260911,2026-01,1,0.19855029693741058,0.19854139259919243,0.19855920342052455,0.20110333501655867,"[128, 0, 0, 6, 17, 14, 29, 31, 54, 1660, 1618]"
gru_shuffled_max_20260911,2026-01,1,0.19967530884784965,0.1993183532490434,0.19932384474796294,0.20003226520909934,"[128, 0, 0, 23, 39, 42, 76, 87, 151, 1228, 1783]"
gru_tick_mean_20260912,2026-01,1,0.1970836207802657,0.1970771234550602,0.19709012324149133,0.19922962859335797,"[128, 0, 0, 3, 5, 10, 8, 9, 12, 1724, 1658]"
gru_tick_mean_20260912,2026-01,2,0.19035497388210998,0.19032740012745458,0.19038254526565007,0.19776164521854647,"[0, 0, 0, 0, 2, 3, 0, 12, 3, 1823, 1714]"
gru_tick_mean_20260912,2026-01,3,0.1876404585716327,0.18759359325506664,0.18768732227952686,0.19723807821992345,"[0, 0, 0, 0, 1, 8, 0, 11, 5, 1761, 1771]"
gru_tick_max_20260912,2026-01,1,0.19787968042478624,0.1975491042800053,0.1975560802060431,0.19821025572333872,"[128, 0, 0, 35, 27, 298, 260, 413, 263, 971, 1162]"
gru_tick_max_20260912,2026-01,2,0.19213695494033395,0.1913327052121019,0.1913474907206792,0.19294120715279106,"[0, 0, 0, 37, 38, 524, 406, 595, 555, 499, 903]"
gru_tick_max_20260912,2026-01,3,0.1891554304772225,0.1882063323882714,0.18822483653880787,0.1901045315572979,"[0, 0, 0, 8, 8, 227, 257, 887, 915, 422, 833]"
gru_shuffled_mean_20260912,2026-01,1,0.1970635485558621,0.19704394370091238,0.19708315406014554,0.20122522684607508,"[128, 0, 0, 3, 0, 5, 7, 22, 17, 1710, 1665]"
gru_shuffled_mean_20260912,2026-01,2,0.1903680988139975,0.19028476598241337,0.19045143604848302,0.2037804978790999,"[0, 0, 0, 1, 0, 7, 1, 20, 7, 1796, 1725]"
gru_shuffled_mean_20260912,2026-01,3,0.18771681077684083,0.18759001873167572,0.1878436042044583,0.20379146680105997,"[0, 0, 0, 13, 0, 31, 11, 68, 12, 1659, 1763]"
gru_shuffled_max_20260912,2026-01,1,0.19874851752071526,0.19813210780881313,0.19814677340430692,0.19936492776884132,"[128, 0, 0, 51, 25, 113, 63, 168, 100, 1167, 1742]"
gru_shuffled_max_20260912,2026-01,2,0.1936850909951164,0.19227258898349234,0.1923051322607435,0.1950975866851627,"[0, 0, 0, 107, 41, 152, 83, 244, 124, 1012, 1794]"
gru_shuffled_max_20260912,2026-01,3,0.19072952826337464,0.18906630253084664,0.18910491491657716,0.19239275710013665,"[0, 1, 0, 86, 68, 129, 95, 199, 172, 1028, 1779]"
tcn_tick_mean_20260910,2026-02,1,0.20460430442431596,0.20459878465353082,0.20460982438438893,0.20669994835039218,"[128, 0, 0, 14, 6, 8, 4, 43, 55, 2045, 1948]"
tcn_tick_mean_20260910,2026-02,2,0.19590141025677033,0.1958641029370305,0.1959387170577212,0.20464522378763236,"[0, 0, 0, 4, 0, 4, 0, 86, 3, 1978, 2176]"
tcn_tick_max_20260910,2026-02,1,0.20535968597413118,0.20511171028589367,0.20511480761020218,0.2056076629137718,"[128, 0, 0, 213, 118, 237, 232, 462, 541, 818, 1502]"
tcn_tick_max_20260910,2026-02,2,0.1974167712006505,0.19641009361862827,0.196425332350188,0.1984234519234491,"[0, 0, 0, 113, 27, 194, 83, 1206, 992, 557, 1079]"
tcn_shuffled_mean_20260910,2026-02,1,0.20460258764649694,0.2045904255052141,0.20461475488803607,0.20798732949562337,"[128, 0, 0, 8, 33, 26, 88, 57, 124, 1978, 1809]"
tcn_shuffled_mean_20260910,2026-02,2,0.19586464561481695,0.19578517426240868,0.1959441152671398,0.20970963460435532,"[0, 0, 0, 12, 0, 25, 2, 53, 5, 1968, 2186]"
tcn_shuffled_max_20260910,2026-02,1,0.2054690140131024,0.20507801741088202,0.20508182199877364,0.20586001141804355,"[129, 1, 1, 93, 68, 141, 154, 234, 225, 1332, 1873]"
tcn_shuffled_max_20260910,2026-02,2,0.19710081929642856,0.19552600186758953,0.19555910270975718,0.19867563249783862,"[0, 4, 0, 159, 54, 212, 68, 307, 153, 1301, 1993]"
tcn_tick_mean_20260911,2026-02,1,0.20486402265171924,0.2048640064010057,0.20486403746174184,0.20543320970208861,"[128, 0, 0, 153, 238, 172, 255, 186, 212, 1358, 1549]"
tcn_tick_mean_20260911,2026-02,2,0.1970760274553153,0.19706294417269116,0.19708910993521872,0.2005154700930947,"[0, 0, 0, 270, 141, 361, 122, 454, 154, 1121, 1628]"
tcn_tick_max_20260911,2026-02,1,0.20516505878102329,0.20497591852076164,0.2049747614531314,0.20535420964491055,"[128, 0, 0, 296, 395, 256, 252, 227, 185, 1234, 1278]"
tcn_tick_max_20260911,2026-02,2,0.19852289171870582,0.197810381675462,0.1978195526724113,0.19923540580009075,"[0, 0, 0, 404, 350, 436, 265, 629, 474, 631, 1062]"
tcn_shuffled_mean_20260911,2026-02,1,0.20487484057576089,0.20487092203307056,0.20487875463162777,0.2067003720116823,"[128, 0, 0, 42, 81, 79, 142, 125, 268, 1723, 1663]"
