model,primary_model,new_model,n,days,q10_prediction_sd,q90_prediction_sd,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24,stress_excess
gru_shuffled_20260912_raw,False,False,1814,77,2.62103446413078,1.7762259605685704,1.6469444643360946,1.6094872122524293,0.7927232635060639,24.095020646954318,1.7312363482642072,1.0497140863370211,1.8521302403407416,2.364878036747168,1.8683291033544098,2.5267825760152665,0.08429188392811238
gru_shuffled_20260912_cal,False,False,1814,77,3.021347037976894,2.3307330672402764,1.6538815722752784,1.6061307643029343,0.8020948180815877,25.00665403130651,1.7332540006444712,1.0497140863370211,1.846177578137515,2.364878036747168,1.8610411960820734,2.5267825760152665,0.07937242836919293
gru_shuffled_ensemble_raw,True,False,1814,77,2.4006480240181083,1.6730301066282676,1.6464801958569306,1.6023015007494563,0.7877618522601985,24.02721286363262,1.722507000814986,0.9505172042187764,1.8133352404370322,2.0379417344779927,1.8245958478814748,2.1895467164278997,0.07602680495805567
gru_shuffled_ensemble_cal,True,False,1814,77,2.5510530745948956,2.3198901701560826,1.6498510272143554,1.601566743552392,0.8004410143329658,25.19715656531659,1.72126065116389,0.9505172042187764,1.8055011579480285,2.0379417344779927,1.816165954101581,2.1895467164278997,0.07140962394953439
gru_tick_20260910_raw,False,False,1814,77,2.4775112892923046,1.9242568113777359,1.6505220742906475,1.6143042938467833,0.7899669239250275,23.91673020753997,1.7257959999735224,0.944544791649563,1.811068249864209,2.0167507702092484,1.8235301962410269,2.1844669768408087,0.07527392568287472
gru_tick_20260910_cal,False,False,1814,77,2.5893161709118226,2.5576178658316038,1.6638863170135552,1.6268199733961564,0.8103638368246968,25.472381129738572,1.732694152450964,0.944544791649563,1.810411040631613,2.0167507702092484,1.8219919138896616,2.1844669768408087,0.06880783543740893
gru_tick_20260911_raw,False,False,1814,77,2.438410549019797,1.6779401739442006,1.6731511112450237,1.6128890767311383,0.7684674751929438,23.778944646904723,1.723742595154914,0.6338349747684062,1.775498673041273,1.2486230031132304,1.7860764942860634,1.336884405541972,0.05059148390989029
gru_tick_20260911_cal,False,False,1814,77,2.3552189081972608,2.3862783499508606,1.6700879543225011,1.6196106102938597,0.8020948180815877,25.468615446701985,1.7160203252040458,0.6338349747684062,1.7635839352109408,1.2486230031132304,1.7739348077313744,1.336884405541972,0.04593237088154496
gru_tick_20260912_raw,False,False,1814,77,2.702815238382545,1.8373091737125138,1.6460856895335823,1.6094445142087717,0.7921719955898566,24.066326814029026,1.7238616389466008,0.9704298018883449,1.8342440216110207,2.1777058801682543,1.8487511754896857,2.323181822649568,0.07777594941301846
gru_tick_20260912_cal,False,False,1814,77,3.118338383482558,2.3795217260457973,1.6539151764447824,1.6068463209168633,0.8009922822491731,25.011848028453407,1.7267823333943206,0.9704298018883449,1.8293103014618568,2.1777058801682543,1.8425586652642172,2.323181822649568,0.07286715694953819
gru_tick_ensemble_raw,True,False,1814,77,2.3378273383214263,1.6869763375857716,1.6474894736265158,1.6016833038445246,0.7866593164277839,23.920667222824573,1.7141568023752372,0.8440886731096946,1.7969368019414973,1.8079735029711963,1.8092974855732507,1.9379944782930014,0.06666732874872153
gru_tick_ensemble_cal,True,False,1814,77,2.458803732355789,2.3447849243909142,1.6535009048033833,1.6048865795344613,0.802646085997795,25.263667381401348,1.7154976301548108,0.8440886731096945,1.7908575561735933,1.8079735029711963,1.8021169187788635,1.9379944782930014,0.06199672535142754
mlp_clean_20260910_raw,False,False,1814,77,2.9692181034185534,1.5320799639890454,1.6557445183600459,1.611707525816436,0.802646085997795,24.943610948527922,1.6930349596659142,0.5101446088120062,1.809270319628491,2.141152214451951,1.8657071150852669,2.8542099593098396,0.03729044130586827
mlp_clean_20260910_cal,False,False,1814,77,3.2627859430751656,2.071026142446835,1.6703085771264872,1.6139707242876469,0.8015435501653804,25.197842323280565,1.7079078104794374,0.5101446088120062,1.8269098819175291,2.141152214451951,1.8877397761583885,2.8542099593098396,0.03759923335294995
mlp_clean_20260911_raw,False,False,1814,77,2.929840029447868,1.4748651585022796,1.725606376991659,1.653208040628742,0.7778390297684675,24.658999257734354,1.7402721913691446,0.1913814986290979,1.8131926691382603,1.237735445996235,1.9183155439934694,2.6834762942830417,0.014665814377485563
mlp_clean_20260911_cal,False,False,1814,77,2.4711334303991865,2.507728140063979,1.6826411983036236,1.629117412106906,0.8042998897464168,25.37000349095469,1.6975922724561887,0.1913814986290979,1.7683545626164345,1.237735445996235,1.8715197745682262,2.6834762942830417,0.01495107415256501
mlp_clean_20260912_raw,False,False,1814,77,2.5535131132101956,1.3501504445008494,1.6967462036943513,1.655523067835654,0.7850055126791621,24.435916398562565,1.719127240687622,0.3029742708805509,1.8327687784759572,1.8350285358702334,1.94325391624151,3.1716735723131677,0.022381036993270556
mlp_clean_20260912_cal,False,False,1814,77,2.9486960983097323,2.2035315145279206,1.6931587025363246,1.6547844384000558,0.8103638368246968,25.529482574774732,1.7148648014655967,0.3029742708805509,1.827610206210808,1.8350285358702334,1.9414703169812875,3.1716735723131677,0.021706098929272038
mlp_clean_ensemble_raw,True,False,1814,77,2.523412067414464,1.2509670022767185,1.6771319609899455,1.6260165600315735,0.7954796030871003,24.679508868274944,1.701583929972217,0.3338656833793083,1.8002896417688175,1.737140289083731,1.8824713506231523,2.9011314213166384,0.024451968982271633
mlp_clean_ensemble_cal,True,False,1814,77,2.5770741788944544,2.1569558548697447,1.670249708977603,1.6138188775646964,0.804851157662624,25.317225412167808,1.6949129996973602,0.3338656833793082,1.794220300434138,1.737140289083731,1.8797665377142445,2.901131421316638,0.024663290719757022
mlp_shuffled_20260910_raw,False,False,1814,77,3.377326031411512,1.9492289988792262,1.6793036107553099,1.6465975466849783,0.8042998897464168,25.40544266119813,1.7260921094580326,0.6561995869566087,1.8622818451653307,2.5021034351651696,1.8870350976040857,2.851183598201882,0.046788498702723204
mlp_shuffled_20260910_cal,False,False,1814,77,3.471714303437254,2.426681353308727,1.677220223115974,1.6339982290870845,0.8037486218302095,25.523804770302057,1.72366264262578,0.6561995869566087,1.8622965685344561,2.5021034351651696,1.891201933163743,2.851183598201882,0.04644241950980569
mlp_shuffled_20260911_raw,False,False,1814,77,2.92146576150101,1.4551354938777215,1.730748334589857,1.6533106822162273,0.7745314222712238,24.58020169995191,1.7450273402823842,0.1864391398403584,1.816647680752902,1.2124671546994916,1.9184417306243016,2.6506132748318874,0.01427900569252691
mlp_shuffled_20260911_cal,False,False,1814,77,2.4538954959982227,2.490311610467687,1.6855302025084933,1.631784784468687,0.8015435501653804,25.384641782638074,1.7001109543607142,0.1864391398403584,1.7698358158153724,1.2124671546994916,1.8691373853827011,2.6506132748318874,0.014580751852221095
mlp_shuffled_20260912_raw,False,False,1814,77,2.6525648419047334,1.5674387794935685,1.6975932108751435,1.6637896937834669,0.7943770672546858,24.753197678394592,1.7221145820466885,0.32539852661755275,1.8456927515776613,1.9641962692782267,1.966728978507216,3.387244780770736,0.024521371171545337
mlp_shuffled_20260912_cal,False,False,1814,77,2.8806880987322776,2.3121266967914402,1.6978860799342053,1.6595343058619438,0.8098125689084895,25.731535157833203,1.7219741630666596,0.32539852661755275,1.8459642249685846,1.9641962692782267,1.9717587356042559,3.387244780770736,0.02408808313245417
mlp_shuffled_ensemble_raw,True,False,1814,77,2.708111284973975,1.4348784386562485,1.6875213780037703,1.6415633644214291,0.7910694597574421,24.912947346514876,1.7158381129571019,0.38831316728181847,1.8246975389048266,1.892522444754828,1.8999790436047848,2.9606783280518068,0.028316734953331424
mlp_shuffled_ensemble_cal,True,False,1814,77,2.6155169055592333,2.27984012194608,1.6732818158788576,1.6217263356680822,0.8004410143329658,25.395606626058314,1.7016104244047396,0.3883131672818186,1.811130646056645,1.892522444754828,1.8892169544111475,2.9606783280518068,0.028328608525881708
