scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd,scenario
core,all,1,joint_xgb,M0,0.1,downside,2523,estimated,-120009.10094692156,-2.0244082880723395,clock_UTC_quote
core,all,1,joint_xgb,M0,0.5,e_origin,2523,estimated,0.3808054326433753,3.671772687883807,clock_UTC_quote
core,all,1,joint_xgb,M0,0.5,downside,2523,estimated,-57210.74664107104,-0.965076054675351,clock_UTC_quote
core,all,1,joint_xgb,M0,0.9,e_origin,2523,estimated,0.3614644799658328,3.4852848499711597,clock_UTC_quote
core,all,1,joint_xgb,M0,0.9,downside,2523,estimated,20989.481087548465,0.3540671427474827,clock_UTC_quote
core,all,1,joint_xgb,M1,0.1,e_origin,2523,estimated,0.4719865125674302,4.550951844002707,clock_UTC_quote
core,all,1,joint_xgb,M1,0.1,downside,2523,estimated,-106706.9636519772,-1.8000173312492247,clock_UTC_quote
core,all,1,joint_xgb,M1,0.1,btc_vol,2523,estimated,-185.45778179406145,-0.3623025260091387,clock_UTC_quote
core,all,1,joint_xgb,M1,0.1,btc_ret,2523,estimated,234.2452990476475,1.0695769571411122,clock_UTC_quote
core,all,1,joint_xgb,M1,0.5,e_origin,2523,estimated,0.3850445929833456,3.712647191820941,clock_UTC_quote
core,all,1,joint_xgb,M1,0.5,downside,2523,estimated,-87441.6756979128,-1.475035239903021,clock_UTC_quote
core,all,1,joint_xgb,M1,0.5,btc_vol,2523,estimated,221.3705890110617,0.4324602764412377,clock_UTC_quote
core,all,1,joint_xgb,M1,0.5,btc_ret,2523,estimated,112.4069937809979,0.5132565343187709,clock_UTC_quote
core,all,1,joint_xgb,M1,0.9,e_origin,2523,estimated,0.3536104212101597,3.409555052137307,clock_UTC_quote
core,all,1,joint_xgb,M1,0.9,downside,2523,estimated,-9607.513679177891,-0.1620671279630565,clock_UTC_quote
core,all,1,joint_xgb,M1,0.9,btc_vol,2523,estimated,295.8080904284399,0.5778782499144249,clock_UTC_quote
core,all,1,joint_xgb,M1,0.9,btc_ret,2523,estimated,70.54697403166934,0.3221213750161862,clock_UTC_quote
core,all,1,joint_xgb,M2,0.1,e_origin,2523,estimated,0.4481302596661898,4.320926927525069,clock_UTC_quote
core,all,1,joint_xgb,M2,0.1,downside,2523,estimated,-147932.06541707902,-2.495434904011556,clock_UTC_quote
core,all,1,joint_xgb,M2,0.1,btc_vol,2523,estimated,-111.12753512771148,-0.2170940809086523,clock_UTC_quote
core,all,1,joint_xgb,M2,0.1,btc_ret,2523,estimated,246.63108813480875,1.1261311533512264,clock_UTC_quote
core,all,1,joint_xgb,M2,0.1,account_ls,2523,estimated,1.2903313548386204,0.8016077380158522,clock_UTC_quote
core,all,1,joint_xgb,M2,0.5,e_origin,2523,estimated,0.3834995444864856,3.697749644711786,clock_UTC_quote
core,all,1,joint_xgb,M2,0.5,downside,2523,estimated,-99705.97061962158,-1.6819190519720064,clock_UTC_quote
