date,window_days,reference,n_before,n_after,estimate,regime
2025-09-25 00:00:00+00:00,14,SOL,14,14,4.167531911908938,after
2025-09-26 00:00:00+00:00,14,ETH,14,14,8.458201041379999,after
2025-09-26 00:00:00+00:00,14,XRP,14,14,5.497028688935032,after
2025-09-26 00:00:00+00:00,14,SOL,14,14,5.5346231079130455,after
2025-09-27 00:00:00+00:00,14,ETH,14,14,7.989463433259722,after
2025-09-27 00:00:00+00:00,14,XRP,14,14,5.569508045546062,after
2025-09-27 00:00:00+00:00,14,SOL,14,14,5.163051552163397,after
2025-09-28 00:00:00+00:00,14,ETH,14,14,7.836829956391345,after
2025-09-28 00:00:00+00:00,14,XRP,14,14,5.615661873719805,after
2025-09-28 00:00:00+00:00,14,SOL,14,14,5.197208396402605,after
2025-09-29 00:00:00+00:00,14,ETH,14,14,8.018349793517016,after
2025-09-29 00:00:00+00:00,14,XRP,14,14,6.221765687369077,after
2025-09-29 00:00:00+00:00,14,SOL,14,14,6.692741118949563,after
2025-09-30 00:00:00+00:00,14,ETH,14,14,7.3673435429841945,after
2025-09-30 00:00:00+00:00,14,XRP,14,14,5.693448695708211,after
2025-09-30 00:00:00+00:00,14,SOL,14,14,6.145855739592511,after
2025-10-01 00:00:00+00:00,14,ETH,14,14,7.646146632746227,after
2025-10-01 00:00:00+00:00,14,XRP,14,14,5.880649253193285,after
2025-10-01 00:00:00+00:00,14,SOL,14,14,6.483367343334594,after
2025-10-02 00:00:00+00:00,14,ETH,14,14,7.963651466810218,after
2025-10-02 00:00:00+00:00,14,XRP,14,14,6.1263334682608654,after
2025-10-02 00:00:00+00:00,14,SOL,14,14,7.666325156487139,after
2025-10-03 00:00:00+00:00,14,ETH,14,14,7.890125795985192,after
2025-10-03 00:00:00+00:00,14,XRP,14,14,6.031849407363671,after
2025-10-03 00:00:00+00:00,14,SOL,14,14,7.542850555609443,after
2025-10-04 00:00:00+00:00,14,ETH,14,14,7.331050837080944,after
2025-10-04 00:00:00+00:00,14,XRP,14,14,5.654937075070702,after
2025-10-04 00:00:00+00:00,14,SOL,14,14,7.194911270390938,after
2025-10-05 00:00:00+00:00,14,ETH,14,14,7.9819162451005035,after
2025-10-05 00:00:00+00:00,14,XRP,14,14,6.183034459092591,after
2025-10-05 00:00:00+00:00,14,SOL,14,14,7.577192628100943,after
2025-10-06 00:00:00+00:00,14,ETH,14,14,8.42430464310952,after
2025-10-06 00:00:00+00:00,14,XRP,14,14,6.456211490670029,after
2025-10-06 00:00:00+00:00,14,SOL,14,14,7.709216672007771,after
2025-10-07 00:00:00+00:00,14,ETH,14,14,8.909921679178467,after
2025-10-07 00:00:00+00:00,14,XRP,14,14,6.528425143817936,after
2025-10-07 00:00:00+00:00,14,SOL,14,14,7.885361990138937,after
2025-10-08 00:00:00+00:00,14,ETH,14,14,9.243011848890438,after
2025-10-08 00:00:00+00:00,14,XRP,14,14,7.05216338458402,after
2025-10-08 00:00:00+00:00,14,SOL,14,14,8.330258236712137,after
2025-10-09 00:00:00+00:00,14,ETH,14,14,3.7299217620671676,after
2025-10-09 00:00:00+00:00,14,XRP,14,14,3.6592543602252476,after
2025-10-09 00:00:00+00:00,14,SOL,14,14,3.8790099332078976,after
2025-10-10 00:00:00+00:00,14,ETH,14,13,1.7858434745550174,after
2025-10-10 00:00:00+00:00,14,XRP,14,13,1.9826071587350764,after
2025-10-10 00:00:00+00:00,14,SOL,14,13,2.6794804866775914,after
2025-10-11 00:00:00+00:00,14,ETH,14,13,2.1918469287489817,after
2025-10-11 00:00:00+00:00,14,XRP,14,13,1.8769944999250097,after
2025-10-11 00:00:00+00:00,14,SOL,14,13,2.796478058377068,after
2025-10-12 00:00:00+00:00,14,ETH,14,13,-3.1829043922166136,after
2025-10-12 00:00:00+00:00,14,XRP,14,13,-1.4141777537093567,after
2025-10-12 00:00:00+00:00,14,SOL,14,13,-1.8559046602038585,after
2025-10-13 00:00:00+00:00,14,ETH,14,13,-4.77879526295591,after
2025-10-13 00:00:00+00:00,14,XRP,14,13,-3.1974961125657195,after
2025-10-13 00:00:00+00:00,14,SOL,14,13,-3.009826175540887,after
2025-10-14 00:00:00+00:00,14,ETH,14,13,-3.7015450260349,after
2025-10-14 00:00:00+00:00,14,XRP,14,13,-2.5135076564020853,after
2025-10-14 00:00:00+00:00,14,SOL,14,13,-1.977411733867818,after
2025-10-15 00:00:00+00:00,14,ETH,14,13,-3.30853020102402,after
2025-10-15 00:00:00+00:00,14,XRP,14,13,-2.382046879369387,after
2025-10-15 00:00:00+00:00,14,SOL,14,13,-2.016755476734202,after
2025-10-16 00:00:00+00:00,14,ETH,14,13,-3.3719658408231226,after
2025-10-16 00:00:00+00:00,14,XRP,14,13,-2.8280132867937553,after
2025-10-16 00:00:00+00:00,14,SOL,14,13,-3.148904220977034,after
2025-10-17 00:00:00+00:00,14,ETH,14,13,-2.8957011673736464,after
2025-10-17 00:00:00+00:00,14,XRP,14,13,-2.37121907725529,after
2025-10-17 00:00:00+00:00,14,SOL,14,13,-2.731561551043539,after
2025-10-18 00:00:00+00:00,14,ETH,14,13,-2.6305334704926935,after
2025-10-18 00:00:00+00:00,14,XRP,14,13,-2.090485184574254,after
2025-10-18 00:00:00+00:00,14,SOL,14,13,-2.680473101241697,after
2025-10-19 00:00:00+00:00,14,ETH,14,13,-3.529114641265947,after
2025-10-19 00:00:00+00:00,14,XRP,14,13,-2.9669566530451963,after
2025-10-19 00:00:00+00:00,14,SOL,14,13,-3.5341798682143306,after
2025-10-20 00:00:00+00:00,14,ETH,14,13,-3.6378609360549934,after
2025-10-20 00:00:00+00:00,14,XRP,14,13,-2.918303296591132,after
2025-10-20 00:00:00+00:00,14,SOL,14,13,-3.2261516703759376,after
2025-10-21 00:00:00+00:00,14,ETH,14,13,-3.5916799579983874,after
2025-10-21 00:00:00+00:00,14,XRP,14,13,-2.689642752812764,after
2025-10-21 00:00:00+00:00,14,SOL,14,13,-3.1303214024431103,after
2025-10-22 00:00:00+00:00,14,ETH,14,13,-4.111420711471972,after
2025-10-22 00:00:00+00:00,14,XRP,14,13,-3.181378846504023,after
2025-10-22 00:00:00+00:00,14,SOL,14,13,-3.404891362164257,after
2025-10-23 00:00:00+00:00,14,ETH,14,13,-3.969295183235092,after
2025-10-23 00:00:00+00:00,14,XRP,14,13,-2.6936523030219313,after
2025-10-23 00:00:00+00:00,14,SOL,14,13,-3.0656654073097602,after
2025-10-24 00:00:00+00:00,14,ETH,14,14,-4.475783388658966,after
2025-10-24 00:00:00+00:00,14,XRP,14,14,-2.8250710923160565,after
2025-10-24 00:00:00+00:00,14,SOL,14,14,-3.240922504504466,after
2025-10-25 00:00:00+00:00,14,ETH,14,14,-5.0702945002979956,after
2025-10-25 00:00:00+00:00,14,XRP,14,14,-3.261379581722176,after
2025-10-25 00:00:00+00:00,14,SOL,14,14,-3.4416014429612325,after
2025-10-26 00:00:00+00:00,14,ETH,14,14,0.9607955994193436,after
2025-10-26 00:00:00+00:00,14,XRP,14,14,0.5322460574112657,after
2025-10-26 00:00:00+00:00,14,SOL,14,14,1.7124973548542979,after
2025-10-27 00:00:00+00:00,14,ETH,13,14,2.7680183487149,after
2025-10-27 00:00:00+00:00,14,XRP,13,14,2.09853491944215,after
2025-10-27 00:00:00+00:00,14,SOL,13,14,2.8382765108599113,after
2025-10-28 00:00:00+00:00,14,ETH,13,14,1.9905027119292367,after
2025-10-28 00:00:00+00:00,14,XRP,13,14,1.6219380277577145,after
2025-10-28 00:00:00+00:00,14,SOL,13,14,2.164589373228335,after
2025-10-29 00:00:00+00:00,14,ETH,13,14,1.1939262672761384,after
2025-10-29 00:00:00+00:00,14,XRP,13,14,1.3467709471228702,after
2025-10-29 00:00:00+00:00,14,SOL,13,14,2.0023813300105004,after
2025-10-30 00:00:00+00:00,14,ETH,13,14,0.7420156284314974,after
2025-10-30 00:00:00+00:00,14,XRP,13,14,1.376909257479582,after
2025-10-30 00:00:00+00:00,14,SOL,13,14,1.6282061201675155,after
2025-10-31 00:00:00+00:00,14,ETH,13,14,0.0988495125096005,after
2025-10-31 00:00:00+00:00,14,XRP,13,14,0.7215769606948257,after
2025-10-31 00:00:00+00:00,14,SOL,13,14,0.7868991649248827,after
2025-11-01 00:00:00+00:00,14,ETH,13,14,-0.08853643941344203,after
2025-11-01 00:00:00+00:00,14,XRP,13,14,0.6152351819087087,after
2025-11-01 00:00:00+00:00,14,SOL,13,14,0.7167286524488414,after
2025-11-02 00:00:00+00:00,14,ETH,13,14,0.6905279512050253,after
2025-11-02 00:00:00+00:00,14,XRP,13,14,1.6544433126647462,after
2025-11-02 00:00:00+00:00,14,SOL,13,14,1.455459468069206,after
2025-11-03 00:00:00+00:00,14,ETH,13,14,0.46083998374128576,after
2025-11-03 00:00:00+00:00,14,XRP,13,14,1.2907564947211085,after
2025-11-03 00:00:00+00:00,14,SOL,13,14,1.0405972040687974,after
2025-11-04 00:00:00+00:00,14,ETH,13,14,0.0791050479026687,after
2025-11-04 00:00:00+00:00,14,XRP,13,14,1.0379772437442885,after
2025-11-04 00:00:00+00:00,14,SOL,13,14,1.0838821465636759,after
2025-11-05 00:00:00+00:00,14,ETH,13,14,0.9732215652931053,after
2025-11-05 00:00:00+00:00,14,XRP,13,14,2.1164363266239423,after
2025-11-05 00:00:00+00:00,14,SOL,13,14,1.9122196118260568,after
2025-11-06 00:00:00+00:00,14,ETH,13,14,1.012061804590985,after
2025-11-06 00:00:00+00:00,14,XRP,13,14,2.1905705959425177,after
2025-11-06 00:00:00+00:00,14,SOL,13,14,1.8276048256968593,after
2025-11-07 00:00:00+00:00,14,ETH,13,14,1.396593476560959,after
2025-11-07 00:00:00+00:00,14,XRP,13,14,2.254712877508757,after
2025-11-07 00:00:00+00:00,14,SOL,13,14,1.9135794578994076,after
2025-11-08 00:00:00+00:00,14,ETH,13,14,1.249599092924404,after
2025-11-08 00:00:00+00:00,14,XRP,13,14,2.023535025789675,after
2025-11-08 00:00:00+00:00,14,SOL,13,14,1.323837147941525,after
2025-11-09 00:00:00+00:00,14,ETH,13,14,0.588484069514223,after
2025-11-09 00:00:00+00:00,14,XRP,13,14,1.2241980721028405,after
2025-11-09 00:00:00+00:00,14,SOL,13,14,0.6189184689383502,after
2025-11-10 00:00:00+00:00,14,ETH,14,14,1.0610639542171345,after
2025-11-10 00:00:00+00:00,14,XRP,14,14,1.526316231392979,after
2025-11-10 00:00:00+00:00,14,SOL,14,14,0.8950642041839174,after
2025-11-11 00:00:00+00:00,14,ETH,14,14,1.3406800364527527,after
2025-11-11 00:00:00+00:00,14,XRP,14,14,1.780623234067118,after
