h,q,reference,term,estimate,n,month_FE
6,0.1,without_DOGE,current_btc,0.928666593388247,1837,True
6,0.1,without_DOGE,current_refspread,0.19723828180792013,1837,True
6,0.1,without_DOGE,down_pct,0.5408588165022075,1837,True
6,0.1,without_DOGE,up_pct,0.8533945162774758,1837,True
6,0.1,without_DOGE,btc_vol24,0.051946324156019505,1837,True
6,0.1,without_DOGE,ls_z,-0.8108544324472926,1837,True
6,0.1,without_DOGE,usdt_range,0.11018476645163322,1837,True
6,0.1,without_DOGE,venue_volume,0.15854928761300535,1837,True
6,0.1,without_DOGE,usdt_volume_surprise,-0.48159391238686955,1837,True
6,0.1,without_DOGE,usdt_unchanged,-0.19774257987271882,1837,True
6,0.1,without_DOGE,hour_sin,0.5313557148541277,1837,True
6,0.1,without_DOGE,hour_cos,0.03404299845334391,1837,True
6,0.1,without_DOGE,weekend,0.7503724578611047,1837,True
6,0.1,without_DOGE,down_x_ls,0.18386236042635506,1837,True
6,0.1,without_DOGE,month_Feb,-0.7872081337697656,1837,True
6,0.1,without_DOGE,month_Mar,-2.782361081060806,1837,True
6,0.5,mean5,const,-2.8698069373581996,1837,True
6,0.5,mean5,current_btc,1.9438007630505927,1837,True
6,0.5,mean5,current_refspread,0.5045230411748349,1837,True
6,0.5,mean5,down_pct,3.9071995873734426,1837,True
6,0.5,mean5,up_pct,2.5174950023413536,1837,True
6,0.5,mean5,btc_vol24,-0.024911160418408074,1837,True
6,0.5,mean5,ls_z,0.36450943650449474,1837,True
6,0.5,mean5,usdt_range,-1.4091856845296356,1837,True
6,0.5,mean5,venue_volume,0.5571713138074678,1837,True
6,0.5,mean5,usdt_volume_surprise,0.4663407110030182,1837,True
6,0.5,mean5,usdt_unchanged,-0.18128036928785418,1837,True
6,0.5,mean5,hour_sin,-0.48687193785624994,1837,True
6,0.5,mean5,hour_cos,0.9853118392220522,1837,True
6,0.5,mean5,weekend,0.5940499735337053,1837,True
6,0.5,mean5,down_x_ls,-1.997333584634525,1837,True
6,0.5,mean5,month_Feb,-0.27401411186315505,1837,True
6,0.5,mean5,month_Mar,-0.8339403511843809,1837,True
6,0.5,median5,const,-1.5868644660148488,1837,True
6,0.5,median5,current_btc,1.587156428886695,1837,True
6,0.5,median5,current_refspread,0.553404098612599,1837,True
6,0.5,median5,down_pct,-0.055164899324208205,1837,True
6,0.5,median5,up_pct,0.773401827302763,1837,True
6,0.5,median5,btc_vol24,0.25881744261870826,1837,True
