h,q,block_days,reference,term,contrast,estimate,primary,low95,high95,p_centered,n_boot,p_holm_24
12,0.1,5,BTC,down_x_ls,mean5_minus_BTC,1.6373052900771485,False,-2.2247367176230117,4.028724782552344,0.289738430583501,496,
12,0.1,5,ETH,down_pct,mean5_minus_ETH,-0.9777236610858782,False,-3.6733255301868373,3.3432384131605284,0.5674044265593562,496,
12,0.1,5,ETH,ls_z,mean5_minus_ETH,-0.2713202699727799,False,-1.7497465014106888,1.9068279331610787,0.7766599597585513,496,
12,0.1,5,ETH,down_x_ls,mean5_minus_ETH,3.136472076875843,False,-0.7725440286021296,4.725995137870706,0.06438631790744467,496,
12,0.1,5,median5,down_pct,mean5_minus_median5,-1.4117463595563007,False,-3.687450356264945,2.976307420034295,0.4346076458752515,496,
12,0.1,5,median5,ls_z,mean5_minus_median5,-0.32356491945550664,False,-1.1551481206310292,1.4093273804796869,0.641851106639839,496,
12,0.1,5,median5,down_x_ls,mean5_minus_median5,2.491735239693143,False,-1.396526184799767,4.392863873889571,0.11066398390342053,496,
12,0.1,5,without_DOGE,down_pct,mean5_minus_without_DOGE,-3.014050181138442,False,-5.271146768043795,2.2676067309002472,0.1710261569416499,496,
12,0.1,5,without_DOGE,ls_z,mean5_minus_without_DOGE,-0.22827233625666288,False,-1.3158986750513035,1.2544310096277131,0.7002012072434608,496,
12,0.1,5,without_DOGE,down_x_ls,mean5_minus_without_DOGE,2.883058873811585,False,-0.5102074696036868,5.124604545435587,0.06841046277665996,496,
6,0.1,1,BTC,down_pct,mean5_minus_BTC,1.4212189173974028,False,-2.6885383426225355,5.2201976902388045,0.486,499,
6,0.1,1,BTC,ls_z,mean5_minus_BTC,-0.23866279997715978,False,-1.8357638803350576,1.5175206066336662,0.776,499,
6,0.1,1,BTC,down_x_ls,mean5_minus_BTC,-0.4383874295563949,False,-5.4069530109536075,2.0874174789730944,0.798,499,
6,0.1,1,ETH,down_pct,mean5_minus_ETH,0.8369182938549284,False,-3.4403711256803873,5.657706280035406,0.762,499,
6,0.1,1,ETH,ls_z,mean5_minus_ETH,-0.15610250177840435,False,-1.8801933836240754,1.9302422236539132,0.898,499,
6,0.1,1,ETH,down_x_ls,mean5_minus_ETH,0.1934242068416432,False,-5.162818266403999,3.155531533441431,0.926,499,
6,0.1,1,median5,down_pct,mean5_minus_median5,0.4831108264424666,False,-3.619900151330315,4.082545453720721,0.816,499,
6,0.1,1,median5,ls_z,mean5_minus_median5,-0.2858490731445351,False,-1.1803982448059926,1.613050946391315,0.694,499,
6,0.1,1,median5,down_x_ls,mean5_minus_median5,-0.6506267741638945,False,-4.464308401178921,2.176027700221715,0.646,499,
6,0.1,1,without_DOGE,down_pct,mean5_minus_without_DOGE,1.1630401119517497,False,-2.618073608099203,4.322764096383007,0.53,499,
6,0.1,1,without_DOGE,ls_z,mean5_minus_without_DOGE,-0.027073805850909682,False,-0.9967045214173036,2.0671851377512422,0.98,499,
6,0.1,1,without_DOGE,down_x_ls,mean5_minus_without_DOGE,-0.5460750457216105,False,-5.1652325530782495,1.179968696866713,0.788,499,
6,0.1,10,BTC,down_pct,mean5_minus_BTC,1.4212189173974028,False,-2.443136827065401,4.964603521896443,0.4802494802494803,480,
