task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,2026-03,153,23.538579464890663,21.983397890051634,-0.07074345752267952,0.6601307189542484
observed_change,pca_1,without_positioning,linear_qr,0.1,all,577,9.595516940019602,8.587026022983327,-0.11744356129083933,0.1611785095320624
observed_change,pca_1,without_positioning,linear_qr,0.1,2026-01,220,7.089922266204996,8.374700244345386,0.15341181662088432,0.10454545454545454
observed_change,pca_1,without_positioning,linear_qr,0.1,2026-02,204,6.729661024979209,6.572494775461143,-0.023912723385472567,0.0784313725490196
observed_change,pca_1,without_positioning,linear_qr,0.1,2026-03,153,17.019474030917998,11.578372727524982,-0.4699366164347101,0.35294117647058826
observed_change,pca_1,without_positioning,linear_qr,0.5,all,577,16.75030637719917,17.137983525319658,0.022620931310135428,0.5597920277296361
observed_change,pca_1,without_positioning,linear_qr,0.5,2026-01,220,13.414422716664392,14.26555639864685,0.05966354611048974,0.4818181818181818
observed_change,pca_1,without_positioning,linear_qr,0.5,2026-02,204,16.076606158073623,16.601638280535468,0.03162531995877882,0.5686274509803921
observed_change,pca_1,without_positioning,linear_qr,0.5,2026-03,153,22.445268795625726,21.983397890051634,-0.02100998707679791,0.6601307189542484
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,all,577,9.644309424268135,8.587026022983327,-0.12312567802344732,0.17677642980935876
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,2026-01,220,7.139323794091391,8.374700244345386,0.1475129155921877,0.12727272727272726
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,2026-02,204,6.87845222433248,6.572494775461143,-0.04655118936170921,0.10784313725490197
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,2026-03,153,16.93405914600511,11.578372727524982,-0.4625595102624558,0.33986928104575165
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,all,577,16.8757127687439,17.137983525319658,0.015303478159392592,0.5389948006932409
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,2026-01,220,13.558361338623449,14.26555639864685,0.049573605141015165,0.5045454545454545
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,2026-02,204,15.82549308677984,16.601638280535468,0.04675112062076525,0.5245098039215687
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,2026-03,153,23.046053486045647,21.983397890051634,-0.04833900570370453,0.6078431372549019
observed_change,pca_1,with_positioning,linear_qr,0.1,all,577,9.686506615873556,8.587026022983327,-0.1280397415761232,0.13344887348353554
observed_change,pca_1,with_positioning,linear_qr,0.1,2026-01,220,6.902611126599345,8.374700244345386,0.1757781263562237,0.05
observed_change,pca_1,with_positioning,linear_qr,0.1,2026-02,204,6.739807810146484,6.572494775461143,-0.02545654890590643,0.05392156862745098
observed_change,pca_1,with_positioning,linear_qr,0.1,2026-03,153,17.618425334884332,11.578372727524982,-0.5216667963193551,0.35947712418300654
observed_change,pca_1,with_positioning,linear_qr,0.5,all,577,16.820489774760862,17.137983525319658,0.018525735544659083,0.5545927209705372
observed_change,pca_1,with_positioning,linear_qr,0.5,2026-01,220,13.283943056849553,14.26555639864685,0.06881002846060791,0.4681818181818182
observed_change,pca_1,with_positioning,linear_qr,0.5,2026-02,204,15.806454922512398,16.601638280535468,0.0478978848102829,0.5588235294117647
observed_change,pca_1,with_positioning,linear_qr,0.5,2026-03,153,23.25776681919992,21.983397890051634,-0.057969606678728525,0.673202614379085
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,all,577,9.280679929187441,8.587026022983327,-0.08077929475787515,0.1438474870017331
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,2026-01,220,5.954636834955215,8.374700244345386,0.28897313799669455,0.05909090909090909
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,2026-02,204,6.415334260678124,6.572494775461143,0.02391185084996772,0.0784313725490196
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,2026-03,153,17.883686446226594,11.578372727524982,-0.5445768474625232,0.35294117647058826
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,all,577,16.627744648461782,17.137983525319658,0.02977239860827552,0.5407279029462738
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,2026-01,220,13.236618587623182,14.26555639864685,0.07212742232201108,0.4863636363636364
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,2026-02,204,15.334577571557443,16.601638280535468,0.07632142608862802,0.5245098039215687
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,2026-03,153,23.228096394036797,21.983397890051634,-0.056619932469513135,0.6405228758169934
observed_change,pca_2,without_positioning,linear_qr,0.1,all,577,9.63188582080499,8.587026022983327,-0.12167889034283563,0.1611785095320624
observed_change,pca_2,without_positioning,linear_qr,0.1,2026-01,220,7.185307921719405,8.374700244345386,0.1420220769607916,0.10454545454545454
observed_change,pca_2,without_positioning,linear_qr,0.1,2026-02,204,6.729661024979209,6.572494775461143,-0.023912723385472567,0.0784313725490196
observed_change,pca_2,without_positioning,linear_qr,0.1,2026-03,153,17.019474030917998,11.578372727524982,-0.4699366164347101,0.35294117647058826
observed_change,pca_2,without_positioning,linear_qr,0.5,all,577,16.72974969766414,17.137983525319658,0.02382041195525675,0.561525129982669
observed_change,pca_2,without_positioning,linear_qr,0.5,2026-01,220,13.418247837446259,14.26555639864685,0.059395409300752045,0.4863636363636364
observed_change,pca_2,without_positioning,linear_qr,0.5,2026-02,204,16.00875984955104,16.601638280535468,0.03571204365291747,0.5686274509803921
observed_change,pca_2,without_positioning,linear_qr,0.5,2026-03,153,22.45270615689948,21.983397890051634,-0.02134830426101808,0.6601307189542484
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,all,577,9.729961330095687,8.587026022983327,-0.13310024961532352,0.16984402079722705
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,2026-01,220,7.102921197484422,8.374700244345386,0.15185964986862321,0.12272727272727273
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,2026-02,204,6.55283598167266,6.572494775461143,0.0029910702800223232,0.08823529411764706
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,2026-03,153,17.74357178926416,11.578372727524982,-0.5324754356096,0.3464052287581699
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,all,577,16.833811505836316,17.137983525319658,0.01774841357700918,0.5476603119584056
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,2026-01,220,13.414440156416774,14.26555639864685,0.05966232360280099,0.5136363636363637
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,2026-02,204,15.874234195109857,16.601638280535468,0.04381519902637887,0.5294117647058824
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,2026-03,153,23.029991036950662,21.983397890051634,-0.04760834299290262,0.6209150326797386
observed_change,pca_2,with_positioning,linear_qr,0.1,all,577,9.698998206261729,8.587026022983327,-0.12949444665733956,0.1386481802426343
observed_change,pca_2,with_positioning,linear_qr,0.1,2026-01,220,6.8525183294435585,8.374700244345386,0.1817595699535165,0.05
observed_change,pca_2,with_positioning,linear_qr,0.1,2026-02,204,6.729341986650533,6.572494775461143,-0.02386418195035911,0.06862745098039216
observed_change,pca_2,with_positioning,linear_qr,0.1,2026-03,153,17.75151743306357,11.578372727524982,-0.5331616843585731,0.35947712418300654
observed_change,pca_2,with_positioning,linear_qr,0.5,all,577,16.818540904430286,17.137983525319658,0.01863945197621575,0.5545927209705372
observed_change,pca_2,with_positioning,linear_qr,0.5,2026-01,220,13.285613636174627,14.26555639864685,0.06869292266547522,0.4636363636363636
observed_change,pca_2,with_positioning,linear_qr,0.5,2026-02,204,15.788417161795548,16.601638280535468,0.048984389672757644,0.5588235294117647
observed_change,pca_2,with_positioning,linear_qr,0.5,2026-03,153,23.272065365304353,21.983397890051634,-0.058620031429986286,0.6797385620915033
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,all,577,9.387128307348522,8.587026022983327,-0.09317571441191719,0.1438474870017331
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,2026-01,220,6.027803170455974,8.374700244345386,0.28023654643329365,0.05454545454545454
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,2026-02,204,6.376533833025289,6.572494775461143,0.029815305927284652,0.08333333333333333
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,2026-03,153,18.231656430736102,11.578372727524982,-0.5746302921648421,0.35294117647058826
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,all,577,16.527412428322265,17.137983525319658,0.03562677581614759,0.5441941074523396
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,2026-01,220,13.066474592411872,14.26555639864685,0.0840543314769494,0.4954545454545455
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,2026-02,204,15.294767541371767,16.601638280535468,0.07871938401982514,0.5343137254901961
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,2026-03,153,23.14745086517317,21.983397890051634,-0.0529514582296815,0.6274509803921569
observed_change,ae_selected,without_positioning,linear_qr,0.1,all,577,9.595516940019602,8.587026022983327,-0.11744356129083933,0.1611785095320624
observed_change,ae_selected,without_positioning,linear_qr,0.1,2026-01,220,7.089922266204996,8.374700244345386,0.15341181662088432,0.10454545454545454
