target,h,model,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,1,update_linear_local_raw,1839,1.6730350796631983,1.6361773400422297,3.7248814233089766,1.7098928192841676,0.1370309951060359,0.1430125067971723,0.7199564980967917,20.543643716883413
mean5,1,update_linear_local_cal28,1839,1.6331532856622315,1.595988936996674,3.723048787139228,1.670317634327789,0.1060358890701468,0.0962479608482871,0.797716150081566,24.63527243296146
mean5,1,update_linear_full_raw,1839,1.675998805048039,1.6339763246558736,3.712033749411356,1.7180212854402044,0.1353996737357259,0.1457313757476889,0.7188689505165851,20.43452231841125
mean5,1,update_linear_full_cal28,1839,1.6343563186391332,1.5976518875942476,3.712222418876228,1.6710607496840186,0.1076672104404567,0.097879282218597,0.7944535073409462,24.53282441095601
mean5,1,update_lgbm_price_raw,1839,1.6956429647240312,1.6819414334196814,3.7742224738553936,1.7093444960283817,0.1337683523654159,0.1430125067971723,0.7232191408374117,21.466301293012247
mean5,1,update_lgbm_price_cal28,1839,1.665827042269619,1.6587242766075123,3.776920595915812,1.6729298079317256,0.1022294725394236,0.0973355084284937,0.8004350190320827,25.035440985511634
mean5,1,update_lgbm_local_raw,1839,1.6991137275832708,1.6824272994588112,3.778316858428551,1.7158001557077307,0.1212615551930397,0.1419249592169657,0.7368134855899946,21.90293113856778
mean5,1,update_lgbm_local_cal28,1839,1.6758809192800672,1.6716854447869958,3.7825261257108793,1.6800763937731389,0.099510603588907,0.0951604132680804,0.8053289831430125,25.54485460434202
mean5,1,update_lgbm_full_raw,1839,1.7109738995208013,1.7014495151104985,3.776819222648917,1.7204982839311045,0.1375747688961392,0.1484502446982055,0.7139749864056553,21.125318967038154
mean5,1,update_lgbm_full_cal28,1839,1.6738285851381969,1.672935758141994,3.781201526751797,1.6747214121343996,0.1011419249592169,0.0957041870581838,0.8031538879825992,25.401658636639414
mean5,1,update_threshold_local_raw,1839,1.6907556674024398,1.6716185155207126,3.73929681626151,1.7098928192841676,0.1593257205002718,0.1430125067971723,0.6976617727025557,19.811629435208346
mean5,1,update_threshold_local_cal28,1839,1.6329139030248738,1.5955101717219589,3.735834188660109,1.670317634327789,0.1087547580206634,0.0962479608482871,0.7949972811310495,24.54548606450641
mean5,1,update_qar_qar_raw,1839,1.683580472176674,1.6798371262670226,3.78171992883401,1.687323818086325,0.1587819467101685,0.1337683523654159,0.7074497009244154,20.48046271469762
mean5,1,update_qar_qar_cal28,1839,1.640901815622394,1.6194129380005462,3.777812804109845,1.6623906932442416,0.1071234366503534,0.0967917346383904,0.7960848287112561,24.214230237899404
mean5,1,hist7,1839,1.6967880226228196,1.6622182396012428,3.9256825316154966,1.7313578056443963,0.1092985318107667,0.1005981511691136,0.7901033170201196,24.82626282382185
