target,h,model,month,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,12,hist7,2025-12,736,2.1614269800739243,2.5629185683381626,4.426377086964623,1.759935391809686,0.10190217391304347,0.12228260869565218,0.7758152173913043,28.471016113503516
mean5,12,hist7,2026-01,722,1.491914500876014,1.4187389151384693,3.3318046144008067,1.5650900866135586,0.12742382271468145,0.1038781163434903,0.7686980609418282,20.87763482417036
mean5,12,hist7,2026-02,672,1.8254218828305573,1.830724098358012,4.279717572587097,1.820119667303103,0.09821428571428571,0.10119047619047619,0.8005952380952381,26.506178409385658
mean5,12,hist7,2026-03,437,1.8833643410880467,1.8479598019363934,4.582851945963471,1.9187688802397,0.10755148741418764,0.09610983981693363,0.7963386727688787,28.755690559443583
mean5,12,hist28,2025-11,720,1.7249024464223248,2.106261448914538,3.5515606111543674,1.3435434439301117,0.16111111111111112,0.12777777777777777,0.7111111111111111,16.972607645534076
mean5,12,hist28,2025-12,736,2.1390850211673844,2.5538369121890834,4.183002595714994,1.7243331301456855,0.0625,0.13179347826086957,0.8057065217391305,25.846910001561405
mean5,12,hist28,2026-01,722,1.4577717259891452,1.4022706163529688,3.2830066920465053,1.5132728356253213,0.12049861495844875,0.07202216066481995,0.8074792243767313,21.930885303588013
mean5,12,hist28,2026-02,672,1.8202461022999397,1.8083467173686603,4.216473848828113,1.8321454872312197,0.11458333333333333,0.13392857142857142,0.7514880952380952,24.28936337536955
mean5,12,hist28,2026-03,437,1.8738953390283486,1.824174807385841,4.502454964118344,1.923615870670856,0.12128146453089245,0.09610983981693363,0.782608695652174,27.902507072646205
mean5,12,delta28,2025-11,720,1.9954797200456735,2.149413173292757,4.271237714659411,1.8415462667985902,0.1388888888888889,0.11666666666666667,0.7444444444444445,23.59718929026498
mean5,12,delta28,2025-12,736,2.604228786422437,2.403790288001798,5.588705975185889,2.804667284843076,0.09918478260869565,0.11820652173913043,0.782608695652174,32.232410666143245
mean5,12,delta28,2026-01,722,1.9621225753555993,1.9402643350050266,4.430368071104738,1.9839808157061714,0.08725761772853186,0.09833795013850416,0.814404432132964,29.128236687032864
mean5,12,delta28,2026-02,672,2.577587627613004,2.6195782083681927,5.769043831207631,2.535597046857816,0.12946428571428573,0.13095238095238096,0.7395833333333334,32.720768001381984
mean5,12,delta28,2026-03,437,2.512088360369739,2.4790883633163867,5.8602803899115115,2.5450883574230923,0.10297482837528604,0.09610983981693363,0.8009153318077803,37.27423775546272
