target,h,model,state,value,days,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
median5,6,update_linear_local_cal28,negative_basis,0,78,760,1.2987840735318508,1.2741611254279275,2.93730756960493,1.3234070216357743,0.09342105263157895,0.11973684210526316,0.7868421052631579,18.32837931532051
median5,6,update_linear_local_cal28,negative_basis,1,77,1077,1.2592908332661654,1.2038386958577405,2.7938308491367803,1.3147429706745903,0.12627669452181986,0.08635097493036212,0.787372330547818,18.51301139920789
median5,6,update_linear_full_raw,high_downside,0,59,967,1.2628889931954177,1.2569464906021883,2.775585970818027,1.2688314957886468,0.1468459152016546,0.10341261633919338,0.749741468459152,16.66818435111765
median5,6,update_linear_full_raw,high_downside,1,53,870,1.3200216112388847,1.2785233064452313,2.9555298616094006,1.361519916032538,0.14367816091954022,0.10919540229885058,0.7471264367816092,17.13128108714073
median5,6,update_linear_full_raw,high_dispersion,0,77,862,1.3049249956664533,1.2781761448300697,2.8629346594257132,1.3316738465028364,0.14733178654292342,0.11136890951276102,0.7412993039443155,16.509637975850406
median5,6,update_linear_full_raw,high_dispersion,1,78,975,1.2767047301880163,1.2574304576165616,2.8589260891858923,1.2959790027594713,0.14358974358974358,0.10153846153846154,0.7548717948717949,17.22158038785657
median5,6,update_linear_full_raw,low_usdt_volume,0,78,1383,1.293176172739623,1.2748061973259683,2.862099351595644,1.3115461481532777,0.1569052783803326,0.1012292118582791,0.7418655097613883,16.893437527204863
median5,6,update_linear_full_raw,low_usdt_volume,1,73,454,1.2801097165174007,1.243888903343289,2.8568705068820126,1.3163305296915129,0.11013215859030837,0.1211453744493392,0.7687224669603524,16.869437694314716
median5,6,update_linear_full_raw,negative_basis,0,78,760,1.3058705830792785,1.285337758662191,2.9376957461226993,1.326403407496366,0.12894736842105264,0.12631578947368421,0.7447368421052631,16.721863159389603
median5,6,update_linear_full_raw,negative_basis,1,77,1077,1.278710134686673,1.2543415380096585,2.806549532337937,1.3030787313636876,0.15691736304549675,0.09192200557103064,0.7511606313834726,17.00439444030372
median5,6,update_linear_full_cal28,high_downside,0,59,967,1.2467243384518367,1.2190531595201832,2.764902413835262,1.2743955173834902,0.11995863495346432,0.09410548086866598,0.7859358841778697,17.99116858728694
median5,6,update_linear_full_cal28,high_downside,1,53,870,1.309379008196699,1.2482588720146017,2.9726298142519734,1.3704991443787966,0.10459770114942529,0.10459770114942529,0.7908045977011494,18.936664469867345
median5,6,update_linear_full_cal28,high_dispersion,0,77,862,1.290522479460371,1.2442383157154469,2.861670704522269,1.3368066432052952,0.11252900232018562,0.10208816705336426,0.7853828306264501,17.961311012960046
median5,6,update_linear_full_cal28,high_dispersion,1,78,975,1.2639095334556045,1.2228473802687236,2.864706077209968,1.3049716866424859,0.11282051282051282,0.09641025641025641,0.7907692307692308,18.86123899437898
median5,6,update_linear_full_cal28,low_usdt_volume,0,78,1383,1.273964997288414,1.2317083495414092,2.863020572763276,1.3162216450354183,0.1193058568329718,0.09255242227042661,0.7881417208966016,18.439503991007935
median5,6,update_linear_full_cal28,low_usdt_volume,1,73,454,1.2838074474981895,1.2364691112179553,2.864077357811244,1.3311457837784235,0.09251101321585903,0.11894273127753303,0.788546255506608,18.43727773816539
median5,6,update_linear_full_cal28,negative_basis,0,78,760,1.2998428813438851,1.274317546310718,2.9401743693068654,1.3253682163770524,0.09342105263157895,0.11973684210526316,0.7868421052631579,18.296738923287805
median5,6,update_linear_full_cal28,negative_basis,1,77,1077,1.259852908628321,1.2036474361305247,2.8090214038112324,1.3160583811261173,0.12627669452181986,0.08449396471680594,0.7892293407613742,18.53930968522965
median5,6,update_lgbm_price_raw,high_downside,0,59,967,1.276405404455413,1.2741190843686383,2.796313606699218,1.2786917245421876,0.15408479834539815,0.10134436401240951,0.7445708376421923,16.368458339666226
median5,6,update_lgbm_price_raw,high_downside,1,53,870,1.3513323408275804,1.3170260704474877,2.9652691419572927,1.385638611207673,0.1425287356321839,0.12873563218390804,0.728735632183908,17.002981829970516
median5,6,update_lgbm_price_raw,high_dispersion,0,77,862,1.323042978788284,1.2914952952851393,2.8904321769360912,1.3545906622914288,0.14385150812064965,0.11948955916473318,0.7366589327146171,16.53629713816223
median5,6,update_lgbm_price_raw,high_dispersion,1,78,975,1.3020308870901318,1.2970429654748692,2.8638634611918743,1.3070188087053942,0.15282051282051282,0.10974358974358975,0.7374358974358974,16.78626181890846
median5,6,update_lgbm_price_raw,low_usdt_volume,0,78,1383,1.3102700158491156,1.2990961880772445,2.8816321602060033,1.3214438436209868,0.15907447577729572,0.10845986984815618,0.7324656543745481,16.665848657948708
