definition,variant,information,calibration,threshold_bp,sample,strategy,fold,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
EQ,original,F,calibrated,-20.0,full,historical,2026-01,137,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.013138686131386862,0.028161535771752223
EQ,original,F,calibrated,-20.0,full,historical,2026-02,128,13.0,54.0,6.0,48.0,7.0,0.421875,0.46153846153846156,0.1111111111111111,0.08671875,0.2941390375416569
EQ,original,F,calibrated,-20.0,full,historical,2026-03,105,16.0,103.0,15.0,88.0,1.0,0.9809523809523809,0.9375,0.14563106796116504,0.0923809523809524,0.18270650628605092
EQ,original,F,calibrated,-20.0,full,state_hist,2025-12,139,8.0,32.0,4.0,28.0,4.0,0.2302158273381295,0.5,0.125,0.04604316546762589,0.3657993413104519
EQ,original,F,calibrated,-20.0,full,state_hist,2026-01,137,2.0,15.0,2.0,13.0,0.0,0.10948905109489052,1.0,0.13333333333333333,0.00948905109489051,0.0
EQ,original,F,calibrated,-20.0,full,state_hist,2026-02,128,13.0,45.0,13.0,32.0,0.0,0.3515625,1.0,0.28888888888888886,0.025,0.0
EQ,original,F,calibrated,-20.0,full,state_hist,2026-03,105,16.0,31.0,15.0,16.0,1.0,0.29523809523809524,0.9375,0.4838709677419355,0.023809523809523808,0.027634625416174903
EQ,original,F,calibrated,-20.0,full,always_alarm,2025-12,139,8.0,139.0,8.0,131.0,0.0,1.0,1.0,0.05755395683453238,0.09424460431654674,0.0
EQ,original,F,calibrated,-20.0,full,always_alarm,2026-01,137,2.0,137.0,2.0,135.0,0.0,1.0,1.0,0.014598540145985401,0.09854014598540145,0.0
EQ,original,F,calibrated,-20.0,full,always_alarm,2026-02,128,13.0,128.0,13.0,115.0,0.0,1.0,1.0,0.1015625,0.08984375000000001,0.0
EQ,original,F,calibrated,-20.0,full,always_alarm,2026-03,105,16.0,105.0,16.0,89.0,0.0,1.0,1.0,0.1523809523809524,0.08476190476190475,0.0
EQ,original,F,calibrated,-20.0,full,never_alarm,2025-12,139,8.0,0.0,0.0,0.0,8.0,0.0,0.0,,0.051798561151079135,0.48787914686157613
EQ,original,F,calibrated,-20.0,full,never_alarm,2026-01,137,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.013138686131386862,0.028161535771752223
EQ,original,F,calibrated,-20.0,full,never_alarm,2026-02,128,13.0,0.0,0.0,0.0,13.0,0.0,0.0,,0.09140625000000001,0.6394045888928586
EQ,original,F,calibrated,-20.0,full,never_alarm,2026-03,105,16.0,0.0,0.0,0.0,16.0,0.0,0.0,,0.13714285714285715,0.8760278748907337
EQ,original,F,calibrated,-20.0,nonoverlap,ml_selected,2025-12,40,2.0,7.0,1.0,6.0,1.0,0.175,0.5,0.14285714285714285,0.0375,0.2633872441683853
EQ,original,F,calibrated,-20.0,nonoverlap,ml_selected,2026-01,37,1.0,4.0,1.0,3.0,0.0,0.10810810810810811,1.0,0.25,0.008108108108108109,0.0
EQ,original,F,calibrated,-20.0,nonoverlap,ml_selected,2026-02,36,5.0,12.5,5.0,7.5,0.0,0.3472222222222222,1.0,0.4,0.02083333333333333,0.0
EQ,original,F,calibrated,-20.0,nonoverlap,ml_selected,2026-03,25,4.0,5.25,3.25,2.0,0.75,0.21,0.8125,0.6190476190476191,0.035,0.013635183748492565
EQ,original,F,calibrated,-20.0,nonoverlap,linear,2025-12,40,2.0,13.0,1.0,12.0,1.0,0.325,0.5,0.07692307692307693,0.052500000000000005,0.2633872441683853
EQ,original,F,calibrated,-20.0,nonoverlap,linear,2026-01,37,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.024324324324324326,0.000467531716768736
EQ,original,F,calibrated,-20.0,nonoverlap,linear,2026-02,36,5.0,11.0,4.0,7.0,1.0,0.3055555555555556,0.8,0.36363636363636365,0.04444444444444445,0.3710679755841145
EQ,original,F,calibrated,-20.0,nonoverlap,linear,2026-03,25,4.0,4.0,2.0,2.0,2.0,0.16,0.5,0.5,0.08,0.2266859960960494
EQ,original,F,calibrated,-20.0,nonoverlap,threshold,2025-12,40,2.0,10.0,1.0,9.0,1.0,0.25,0.5,0.1,0.045,0.2633872441683853
EQ,original,F,calibrated,-20.0,nonoverlap,threshold,2026-01,37,1.0,4.0,1.0,3.0,0.0,0.10810810810810811,1.0,0.25,0.008108108108108109,0.0
EQ,original,F,calibrated,-20.0,nonoverlap,threshold,2026-02,36,5.0,9.0,4.0,5.0,1.0,0.25,0.8,0.4444444444444444,0.038888888888888896,0.3710679755841145
