definition,variant,information,calibration,threshold_bp,sample,reference,n,block_days,reference_cost,ml_cost,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot
EQ,original,R,calibrated,-20.0,nonoverlap,threshold,138,5,0.02681159420289855,0.030434782608695653,-0.0036231884057971024,-0.030295383411580598,0.01982326494427558,-13.513513513513518,-215.08333333333334,59.84948165869218,1.0,0.8005
EQ,original,R,calibrated,-20.0,nonoverlap,historical,138,5,0.0746376811594203,0.030434782608695653,0.044202898550724644,0.009076018808777432,0.07930623555946752,59.223300970873794,16.32625359310125,87.62886597938143,1.0,0.015
EQ,original,R,calibrated,-20.0,nonoverlap,state_hist,138,5,0.021739130434782608,0.030434782608695653,-0.008695652173913044,-0.03095326936744847,0.007517548241232452,-40.0,-234.09663865546213,35.91051136363637,1.0,0.4625
EQ,original,B,raw,-5.0,full,linear,509,5,0.06660117878192535,0.06532416502946956,0.0012770137524557965,-0.005340972310697753,0.007132109451610468,1.9174041297935112,-8.138953793333652,11.056379821958457,1.0,0.6825
EQ,original,B,raw,-5.0,full,threshold,509,5,0.06542239685658154,0.06532416502946956,9.823182711198481e-05,-0.00865796840712534,0.008962215320910967,0.15015015015015093,-14.597428485460675,12.62374963224478,1.0,0.987
EQ,original,B,raw,-5.0,full,historical,509,5,0.06777996070726916,0.06532416502946956,0.002455795677799606,-0.009608048006631205,0.014050790870488324,3.6231884057970998,-14.423497420946402,20.58067536666144,1.0,0.7005
EQ,original,B,raw,-5.0,full,state_hist,509,5,0.07779960707269157,0.06532416502946956,0.012475442043222006,-0.0018214216337335946,0.028955612566387623,16.035353535353533,-2.925462075817948,30.715794916599062,1.0,0.105
EQ,original,B,raw,-5.0,nonoverlap,linear,138,5,0.0746376811594203,0.06340579710144928,0.011231884057971016,0.004109466731898239,0.02083644278606965,15.04854368932039,5.5519005847953204,27.01706676669167,1.0,0.011
EQ,original,B,raw,-5.0,nonoverlap,threshold,138,5,0.0746376811594203,0.06340579710144928,0.011231884057971014,-0.0013990938638825967,0.026645833333333334,15.04854368932039,-2.207947785855916,29.46512803234501,1.0,0.1185
EQ,original,B,raw,-5.0,nonoverlap,historical,138,5,0.06521739130434782,0.06340579710144928,0.00181159420289855,-0.019966460635752532,0.02230897435897436,2.777777777777777,-30.794715447154474,33.34249084249083,1.0,0.878
EQ,original,B,raw,-5.0,nonoverlap,state_hist,138,5,0.07536231884057973,0.06340579710144928,0.011956521739130437,-0.008689152159896841,0.037825778198603374,15.865384615384615,-14.907716874628637,39.481481481481474,1.0,0.3215
EQ,original,B,raw,-10.0,full,linear,509,5,0.0575638506876228,0.05957760314341847,-0.0020137524557956787,-0.008627610782390585,0.004007114833727737,-3.498293515358363,-15.377721335268504,7.173487259017618,1.0,0.538
EQ,original,B,raw,-10.0,full,threshold,509,5,0.06699410609037329,0.05957760314341847,0.007416502946954813,-0.00045114077440121215,0.014781171765280574,11.070381231671554,-0.6417622080679404,21.666966426858515,1.0,0.0575
EQ,original,B,raw,-10.0,full,historical,509,5,0.07956777996070727,0.05957760314341847,0.019990176817288798,0.005903217947001151,0.03407523510971787,25.123456790123452,7.399475524475527,42.24381335718545,1.0,0.006
EQ,original,B,raw,-10.0,full,state_hist,509,5,0.060510805500982326,0.05957760314341847,0.0009332023575638508,-0.006156813791169415,0.008671198380820882,1.5422077922077921,-11.661091492256855,13.745153362737463,1.0,0.81
EQ,original,B,raw,-10.0,nonoverlap,linear,138,5,0.05942028985507247,0.07065217391304347,-0.011231884057971016,-0.028043928571428574,0.0045525568181818115,-18.902439024390244,-58.33920187793426,7.378094680495148,1.0,0.1735
EQ,original,B,raw,-10.0,nonoverlap,threshold,138,5,0.07753623188405796,0.07065217391304347,0.006884057971014492,-0.014363313990973566,0.028437042727538768,8.878504672897197,-22.88879107981221,32.36344537815125,1.0,0.5295
EQ,original,B,raw,-10.0,nonoverlap,historical,138,5,0.0782608695652174,0.07065217391304347,0.007608695652173908,-0.020770915216170686,0.03598653076083,9.722222222222214,-27.349239315383823,44.220403439153415,1.0,0.6045
