definition,variant,information,strategy,state,n,e_state,scale_state,loss,too_high,too_low,below,q_change,actual_delta_mean,actual_delta_q10
EQ,original,B,linear,1,248,low,high,2.1907510760369733,0.5983168817024707,1.5924341943345026,0.06854838709677419,-8.007534903523714,7.252010504596343,-6.126793875289756
EQ,original,B,linear,2,10,middle,low,1.750045745658602,0.41041288051055647,1.3396328651480458,0.1,-13.644382981161181,-0.7040686413591202,-15.995061184426907
EQ,original,B,linear,3,98,middle,high,1.690169040604303,0.16030444619685774,1.5298645944074452,0.04081632653061224,-15.738826392486663,-0.6182964997420533,-11.227067973918828
EQ,original,B,linear,4,9,high,low,1.0495991925649615,0.0,1.0495991925649615,0.0,-17.46466707860529,-6.968675152955678,-18.08524520743306
EQ,original,B,linear,5,133,high,high,2.0331745519577478,0.8940828004048129,1.1390917515529349,0.18045112781954886,-21.99947007811212,-11.601977896365899,-25.425941828634183
EQ,original,B,threshold,0,11,low,low,1.7150563139027248,0.0,1.7150563139027248,0.0,-11.418524924367496,5.732038214659752,-2.5209192230800115
EQ,original,B,threshold,1,248,low,high,2.3169428782966106,0.518008624236417,1.7989342540601931,0.0846774193548387,-10.161766897965126,7.252010504596343,-6.126793875289756
EQ,original,B,threshold,2,10,middle,low,1.74256961916324,0.7263627655793898,1.0162068535838504,0.1,-10.059067437664966,-0.7040686413591202,-15.995061184426907
EQ,original,B,threshold,3,98,middle,high,1.5727564545143395,0.21607416661968998,1.3566822878946494,0.061224489795918366,-13.945036971333337,-0.6182964997420533,-11.227067973918828
EQ,original,B,threshold,4,9,high,low,1.429997114441209,0.0,1.429997114441209,0.0,-21.268646297367763,-6.968675152955678,-18.08524520743306
EQ,original,B,threshold,5,133,high,high,2.0860103914972945,0.9529898415992962,1.1330205498979984,0.19548872180451127,-21.873305793568885,-11.601977896365899,-25.425941828634183
EQ,original,B,historical,0,11,low,low,2.1371488464315105,0.0,2.1371488464315105,0.0,-15.63945024965535,5.732038214659752,-2.5209192230800115
EQ,original,B,historical,1,248,low,high,2.7949931474941594,0.23235203406379337,2.562641113430366,0.012096774193548387,-18.11623170296977,7.252010504596343,-6.126793875289756
EQ,original,B,historical,2,10,middle,low,1.6567969027148255,0.06119240360673196,1.5956044991080935,0.1,-16.59212207287702,-0.7040686413591202,-15.995061184426907
EQ,original,B,historical,3,98,middle,high,1.9236600845553211,0.112530480656103,1.8111296038992182,0.05102040816326531,-18.604558671338566,-0.6182964997420533,-11.227067973918828
EQ,original,B,historical,4,9,high,low,1.0419201012564219,0.12373791782757082,0.918182183428851,0.1111111111111111,-16.01301041188022,-6.968675152955678,-18.08524520743306
EQ,original,B,historical,5,133,high,high,2.527809970789332,1.5842596904468698,0.9435502803424626,0.2932330827067669,-19.27719215484956,-11.601977896365899,-25.425941828634183
EQ,original,B,state_hist,0,11,low,low,1.3672650789217675,0.3837707437334384,0.983494335188329,0.09090909090909091,-3.676493199741938,5.732038214659752,-2.5209192230800115
EQ,original,B,state_hist,1,248,low,high,2.0881477138583335,0.5020716518031919,1.5860760620551417,0.07258064516129033,-8.050892725062639,7.252010504596343,-6.126793875289756
EQ,original,B,state_hist,2,10,middle,low,1.508227931679696,0.4860020489577317,1.0222258827219644,0.1,-10.386325191959061,-0.7040686413591202,-15.995061184426907
EQ,original,B,state_hist,3,98,middle,high,1.48864719698873,0.28786874198574697,1.200778455002983,0.05102040816326531,-12.306226892009944,-0.6182964997420533,-11.227067973918828
EQ,original,B,state_hist,4,9,high,low,1.1538138458009812,0.0985025790982967,1.0553112667026845,0.1111111111111111,-17.4123405098733,-6.968675152955678,-18.08524520743306
EQ,original,B,state_hist,5,133,high,high,1.9354228764298187,0.6795404565428413,1.2558824198869771,0.15037593984962405,-23.4057571435214,-11.601977896365899,-25.425941828634183
EQ,own_scale,F,ml_selected,0,11,low,low,1.0255459928750932,0.04583596976601877,0.9797100231090744,0.18181818181818182,-4.014133161135413,5.732038214659752,-2.5209192230800115
EQ,own_scale,F,ml_selected,1,248,low,high,2.062057798712873,0.5722865120529997,1.4897712866598736,0.09375,-7.009828459721281,7.252010504596343,-6.126793875289756
EQ,own_scale,F,ml_selected,2,10,middle,low,1.7139065696247209,0.7301644376979151,0.983742131926806,0.1,-9.730196140962828,-0.7040686413591202,-15.995061184426907
EQ,own_scale,F,ml_selected,3,98,middle,high,1.5337985420955351,0.28332755036517016,1.250470991730365,0.06377551020408163,-12.808198027751066,-0.6182964997420533,-11.227067973918828
EQ,own_scale,F,ml_selected,4,9,high,low,1.206412155773728,0.0,1.206412155773728,0.0,-19.032796710692956,-6.968675152955678,-18.08524520743306
EQ,own_scale,F,ml_selected,5,133,high,high,1.8812013533054452,0.7191887425276683,1.1620126107777766,0.16917293233082706,-22.423005401335146,-11.601977896365899,-25.425941828634183
EQ,own_scale,F,linear,0,11,low,low,1.6609247735413233,0.0,1.6609247735413233,0.0,-10.877209520753478,5.732038214659752,-2.5209192230800115
