definition,variant,information,calibration,threshold_bp,sample,strategy,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
CAP,own_scale,F,raw,-20.0,full,linear,509,12.0,5.0,3.0,2.0,9.0,0.009823182711198428,0.25,0.6,0.016306483300589394,0.06640312648955146
CAP,own_scale,F,raw,-20.0,full,threshold,509,12.0,14.0,6.0,8.0,6.0,0.0275049115913556,0.5,0.42857142857142855,0.01218074656188605,0.05098514715851721
CAP,own_scale,F,raw,-20.0,full,historical,509,12.0,0.0,0.0,0.0,12.0,0.0,0.0,,0.021218074656188607,0.11729322720000396
CAP,own_scale,F,raw,-20.0,full,state_hist,509,12.0,0.0,0.0,0.0,12.0,0.0,0.0,,0.021218074656188607,0.11729322720000396
CAP,own_scale,F,raw,-20.0,full,always_alarm,509,12.0,509.0,12.0,497.0,0.0,1.0,1.0,0.023575638506876228,0.09764243614931238,0.0
CAP,own_scale,F,raw,-20.0,full,never_alarm,509,12.0,0.0,0.0,0.0,12.0,0.0,0.0,,0.021218074656188607,0.11729322720000396
CAP,own_scale,F,raw,-20.0,nonoverlap,ml_selected,138,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.026086956521739132,0.1341127379355532
CAP,own_scale,F,raw,-20.0,nonoverlap,linear,138,4.0,1.0,1.0,0.0,3.0,0.007246376811594203,0.25,1.0,0.01956521739130435,0.12036045680581281
CAP,own_scale,F,raw,-20.0,nonoverlap,threshold,138,4.0,3.0,1.0,2.0,3.0,0.021739130434782608,0.25,0.3333333333333333,0.02101449275362319,0.12036045680581281
CAP,own_scale,F,raw,-20.0,nonoverlap,historical,138,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.026086956521739132,0.1341127379355532
CAP,own_scale,F,raw,-20.0,nonoverlap,state_hist,138,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.026086956521739132,0.1341127379355532
CAP,own_scale,F,raw,-20.0,nonoverlap,always_alarm,138,4.0,138.0,4.0,134.0,0.0,1.0,1.0,0.028985507246376812,0.09710144927536231,0.0
CAP,own_scale,F,raw,-20.0,nonoverlap,never_alarm,138,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.026086956521739132,0.1341127379355532
CAP,own_scale,F,calibrated,-5.0,full,ml_selected,509,143.0,383.75,135.25,248.5,7.75,0.7539292730844793,0.9458041958041958,0.352442996742671,0.062524557956778,0.04159695257308048
