definition,learner,seed,sample,minimum_gap_bp,block_days,n,quantity,estimate,lo,hi,bootstrap_valid,p
EQ,forest20,20260926,without_2025-12,5,5,234,excess,4.30074043061864,0.8104009686989232,7.39644003032034,1.0,0.014
EQ,forest20,20260926,without_2025-12,5,5,234,cross,0.31974977378827857,0.15250353047987894,0.4878115271737621,1.0,0.001
EQ,forest20,20260926,without_2025-12,5,5,234,overshot,0.14898646517564992,0.051157607828948334,0.23234844694056275,1.0,0.003
EQ,forest20,20260926,2026-01,5,5,77,gap,2.1601363415249537,-2.130825834950601,6.076473726994391,1.0,0.3085
EQ,forest20,20260926,2026-01,5,5,77,excess,-0.7039547384287989,-7.363767916573814,4.425456431731774,1.0,0.8395
EQ,forest20,20260926,2026-01,5,5,77,cross,0.2611350343357507,-0.0926389216652454,0.613774449518426,1.0,0.1515
EQ,forest20,20260926,2026-01,5,5,77,overshot,0.053659074993338114,-0.14575107993211012,0.19890555558184944,1.0,0.602
EQ,forest20,20260926,without_2026-01,5,5,241,gap,1.3068087841971305,-1.2064809103620926,4.161191932878491,1.0,0.3805
EQ,forest20,20260926,without_2026-01,5,5,241,excess,3.4788791348155446,0.11488468021123209,7.080765178273162,1.0,0.0535
EQ,forest20,20260926,without_2026-01,5,5,241,cross,0.3066156148288502,0.16426180620250846,0.4460661075328259,1.0,0.0005
EQ,forest20,20260926,without_2026-01,5,5,241,overshot,0.13079630120163951,0.06217612853645873,0.20001217902425406,1.0,0.0005
EQ,forest20,20260926,2026-02,5,5,80,gap,-2.7509306634583686,-5.796037446834651,0.259389118529041,1.0,0.0775
EQ,forest20,20260926,2026-02,5,5,80,excess,9.060213149627105,4.593660290794539,13.99632053847795,1.0,0.002
EQ,forest20,20260926,2026-02,5,5,80,cross,0.23019867372093764,-0.06143139011256682,0.6185938128794647,1.0,0.1385
EQ,forest20,20260926,2026-02,5,5,80,overshot,0.1793807862932608,0.028368497854526494,0.3475194979480226,1.0,0.029
EQ,forest20,20260926,without_2026-02,5,5,238,gap,2.7745266755123827,0.13707652570381473,5.402809401795266,1.0,0.0375
EQ,forest20,20260926,without_2026-02,5,5,238,excess,0.3284269858762322,-3.4167071584650572,3.8863642245829695,1.0,0.86
EQ,forest20,20260926,without_2026-02,5,5,238,cross,0.31110874450149717,0.14700751560646458,0.4685471589222646,1.0,0.001
EQ,forest20,20260926,without_2026-02,5,5,238,overshot,0.08805613644240333,-0.004499315638033997,0.16433533287506347,1.0,0.039
EQ,forest20,20260926,2026-03,5,5,77,gap,-0.2319673906928489,-2.9316474000672583,2.241931672348972,1.0,0.805
