table,label,stat,printed,source,recomputed,matches_printed_precision,file,column
2,Downside,mean,-5.15,historical_saved_NOT_RERUN,-5.147104560402999,True,table1_residual_descriptive.csv,mean
2,Downside,std,11.04,default_B300,11.037416613885,True,table1_residual_descriptive.csv,std
2,Downside,std,11.04,archive_main_B40,11.037416613885,True,table1_residual_descriptive.csv,std
2,Downside,std,11.04,historical_saved_NOT_RERUN,11.037416613885,True,table1_residual_descriptive.csv,std
2,Downside,skew,-1.08,default_B300,-1.078057275132435,True,table1_residual_descriptive.csv,skew
2,Downside,skew,-1.08,archive_main_B40,-1.078057275132435,True,table1_residual_descriptive.csv,skew
2,Downside,skew,-1.08,historical_saved_NOT_RERUN,-1.078057275132435,True,table1_residual_descriptive.csv,skew
3,0.1,beta,-6.78,default_B300,-6.779102840990139,True,table3_main_quantile_tail.csv,beta_downside
3,0.1,beta,-6.78,archive_main_B40,-6.779102840990139,True,table3_main_quantile_tail.csv,beta_downside
3,0.1,beta,-6.78,historical_saved_NOT_RERUN,-6.779102840990139,True,table3_main_quantile_tail.csv,beta_downside
3,0.1,p,0.00,default_B300,0.0,True,table3_main_quantile_tail.csv,p_boot
3,0.1,p,0.00,archive_main_B40,0.0,True,table3_main_quantile_tail.csv,p_boot
3,0.1,p,0.00,historical_saved_NOT_RERUN,0.0,True,table3_main_quantile_tail.csv,p_boot
3,0.25,beta,-11.45,default_B300,-11.453036372741185,True,table3_main_quantile_tail.csv,beta_downside
3,0.25,beta,-11.45,archive_main_B40,-11.453036372741185,True,table3_main_quantile_tail.csv,beta_downside
3,0.25,beta,-11.45,historical_saved_NOT_RERUN,-11.453036372741185,True,table3_main_quantile_tail.csv,beta_downside
3,0.25,p,0.00,default_B300,0.0,True,table3_main_quantile_tail.csv,p_boot
3,0.25,p,0.00,archive_main_B40,0.0,True,table3_main_quantile_tail.csv,p_boot
3,0.25,p,0.00,historical_saved_NOT_RERUN,0.0,True,table3_main_quantile_tail.csv,p_boot
3,0.5,beta,-9.28,default_B300,-9.276944727077591,True,table3_main_quantile_tail.csv,beta_downside
3,0.5,beta,-9.28,archive_main_B40,-9.276944727077591,True,table3_main_quantile_tail.csv,beta_downside
3,0.5,beta,-9.28,historical_saved_NOT_RERUN,-9.276944727077591,True,table3_main_quantile_tail.csv,beta_downside
3,0.5,p,0.01,default_B300,0.0133333333333333,True,table3_main_quantile_tail.csv,p_boot
3,0.5,p,0.01,archive_main_B40,0.0,False,table3_main_quantile_tail.csv,p_boot
3,0.5,p,0.01,historical_saved_NOT_RERUN,0.0,False,table3_main_quantile_tail.csv,p_boot
3,0.75,beta,-5.53,default_B300,-5.531163700313488,True,table3_main_quantile_tail.csv,beta_downside
3,0.75,beta,-5.53,archive_main_B40,-5.531163700313488,True,table3_main_quantile_tail.csv,beta_downside
3,0.75,beta,-5.53,historical_saved_NOT_RERUN,-5.531163700313488,True,table3_main_quantile_tail.csv,beta_downside
3,0.75,p,0.07,default_B300,0.0666666666666666,True,table3_main_quantile_tail.csv,p_boot
3,0.75,p,0.07,archive_main_B40,0.05,False,table3_main_quantile_tail.csv,p_boot
3,0.75,p,0.07,historical_saved_NOT_RERUN,0.05,False,table3_main_quantile_tail.csv,p_boot
3,0.9,beta,-4.25,default_B300,-4.248639333181294,True,table3_main_quantile_tail.csv,beta_downside
3,0.9,beta,-4.25,archive_main_B40,-4.248639333181294,True,table3_main_quantile_tail.csv,beta_downside
