mode,definition,fold,info,model,window,form,params,validation_loss_bp,train_n,test_n
available_macro,EQ,2025-11,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.2902767268835547,1582,280
available_macro,EQ,2025-12,base,linear,90,change,"{""alpha"": 0.05}",1.7400192860855803,940,313
available_macro,EQ,2025-12,base,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.6626279004293463,940,313
available_macro,EQ,2025-12,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6832526563096013,1862,313
available_macro,EQ,2025-12,full,linear,90,change,"{""alpha"": 0.05}",1.7400192860855803,940,313
available_macro,EQ,2025-12,full,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.6626279004293463,940,313
available_macro,EQ,2025-12,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6902505666519736,1862,313
available_macro,EQ,2025-12,history,linear,90,change,"{""alpha"": 0.05}",1.7400192860855803,940,313
available_macro,EQ,2025-12,history,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.666045145967705,940,313
available_macro,EQ,2025-12,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6643791786071789,1862,313
available_macro,EQ,2026-01,base,linear,90,change,"{""alpha"": 0.05}",1.9312288930709913,908,294
available_macro,EQ,2026-01,base,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.6254527657175972,2175,294
available_macro,EQ,2026-01,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6498539706222126,2175,294
available_macro,EQ,2026-01,full,linear,90,change,"{""alpha"": 0.05}",1.9312288930709913,908,294
available_macro,EQ,2026-01,full,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.6554045703291367,2175,294
available_macro,EQ,2026-01,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6829033486824794,2175,294
available_macro,EQ,2026-01,history,linear,90,change,"{""alpha"": 0.05}",1.9312288930709913,908,294
available_macro,EQ,2026-01,history,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.638996725322572,2175,294
available_macro,EQ,2026-01,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6650336413545732,2175,294
available_macro,EQ,2026-02,base,linear,90,level,"{""alpha"": 0.01}",1.358121763227486,887,280
available_macro,EQ,2026-02,base,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.4692401581328811,887,280
available_macro,EQ,2026-02,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.4505993797404595,887,280
available_macro,EQ,2026-02,full,linear,all,level,"{""alpha"": 0.0}",1.3431721761424378,2469,280
available_macro,EQ,2026-02,full,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.4692401581328811,887,280
available_macro,EQ,2026-02,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.4567318292613587,887,280
available_macro,EQ,2026-02,history,linear,all,level,"{""alpha"": 0.01}",1.3524004138302412,2469,280
available_macro,EQ,2026-02,history,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.4680629900905668,887,280
available_macro,EQ,2026-02,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.4332846663560563,887,280
available_macro,EQ,2026-03,base,linear,90,change,"{""alpha"": 0.01}",1.9433098007198513,887,201
available_macro,EQ,2026-03,base,boosting,90,level,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.9920212432408668,887,201
available_macro,EQ,2026-03,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.9181186967653385,887,201
available_macro,EQ,2026-03,full,linear,90,change,"{""alpha"": 0.01}",1.9393216579645716,887,201
available_macro,EQ,2026-03,full,boosting,90,level,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.9824058268859102,887,201
