mode,definition,model,info,calibration,reference_model,reference_info,reference_calibration,block_days,comparison,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
available_macro,CAP,boosting,base,calibrated,linear,base,calibrated,5,algorithm_vs_linear,1088,-0.06906916052726242,-0.12057043011941047,-0.0201154884009206,5.328259295874949,1.685190665170024,8.601800951107032,0.007,3,4
available_macro,CAP,boosting,base,calibrated,linear,base,calibrated,10,algorithm_vs_linear,1088,-0.06906916052726242,-0.11383596339286418,-0.024552859063984703,5.328259295874949,2.0490885326521013,8.229093902289797,0.001,3,4
available_macro,CAP,qrf,base,calibrated,linear,base,calibrated,1,algorithm_vs_linear,1088,-0.03775067971532063,-0.08769859685588711,0.011274632645251787,2.9122318641669365,-0.912465513936925,6.428522807798589,0.148,2,4
available_macro,CAP,qrf,base,calibrated,linear,base,calibrated,5,algorithm_vs_linear,1088,-0.03775067971532063,-0.09920766233798746,0.015623168119891196,2.9122318641669365,-1.3139943312252398,6.939817971570101,0.208,2,4
available_macro,CAP,qrf,base,calibrated,linear,base,calibrated,10,algorithm_vs_linear,1088,-0.03775067971532063,-0.0930825913714005,0.009663422440828297,2.9122318641669365,-0.7988582755628182,6.596896410146486,0.1795,2,4
available_macro,CAP,boosting,full,calibrated,linear,full,calibrated,1,algorithm_vs_linear,1088,-0.13133207063197525,-0.2246632618588253,-0.05182946229527172,9.675257102445311,4.115525897290879,15.14283855056663,0.004,3,4
available_macro,CAP,boosting,full,calibrated,linear,full,calibrated,5,algorithm_vs_linear,1088,-0.13133207063197525,-0.27896267517964063,-0.02345583002188328,9.675257102445311,1.983307825744377,17.45891880596953,0.0385,3,4
available_macro,CAP,boosting,full,calibrated,linear,full,calibrated,10,algorithm_vs_linear,1088,-0.13133207063197525,-0.2506600521486124,-0.0299104938839426,9.675257102445311,2.4275585883426127,16.39173084102974,0.021,3,4
available_macro,CAP,qrf,full,calibrated,linear,full,calibrated,1,algorithm_vs_linear,1088,-0.11091323666118531,-0.2112324061824634,-0.022778569235524522,8.170997956534631,1.7973574577737115,14.20342721746503,0.0215,2,4
available_macro,CAP,qrf,full,calibrated,linear,full,calibrated,5,algorithm_vs_linear,1088,-0.11091323666118531,-0.2668265438267061,0.002118606664242937,8.170997956534631,-0.1845266999814773,16.744052039944542,0.105,2,4
available_macro,CAP,qrf,full,calibrated,linear,full,calibrated,10,algorithm_vs_linear,1088,-0.11091323666118531,-0.2378224905575588,-0.00448712878989342,8.170997956534631,0.3534374071643256,15.392576208247437,0.062,2,4
available_macro,CAP,boosting,history,calibrated,linear,history,calibrated,1,algorithm_vs_linear,1088,-0.07117402515331654,-0.12339957550846563,-0.020775885302700033,5.47940308546504,1.6790123815888105,9.020677590527782,0.0055,2,4
available_macro,CAP,boosting,history,calibrated,linear,history,calibrated,5,algorithm_vs_linear,1088,-0.07117402515331654,-0.12740432254643508,-0.013271924529192727,5.47940308546504,1.1199284068844129,8.991206056514297,0.0115,2,4
available_macro,CAP,boosting,history,calibrated,linear,history,calibrated,10,algorithm_vs_linear,1088,-0.07117402515331654,-0.11950871417105179,-0.020078076508721756,5.47940308546504,1.6400159737183153,8.627735058107778,0.0035,2,4
