mode,definition,model,info,calibration,subset,n,loss_bp,below_rate
available_macro,PCA,boosting,base,raw,original_origins,467,1.932175787790743,0.21199143468950749
available_macro,PCA,boosting,base,raw,additional_origins,621,1.7155946679100842,0.15942028985507245
available_macro,PCA,boosting,base,calibrated,original_origins,467,1.7768867730962123,0.11563169164882227
available_macro,PCA,boosting,base,calibrated,additional_origins,621,1.7249484043310865,0.0853462157809984
available_macro,PCA,boosting,full,raw,original_origins,467,1.9212305203603768,0.1948608137044968
available_macro,PCA,boosting,full,raw,additional_origins,621,1.7112660531798554,0.15942028985507245
available_macro,PCA,boosting,full,calibrated,original_origins,467,1.7995018749749734,0.11349036402569593
available_macro,PCA,boosting,full,calibrated,additional_origins,621,1.7367251778565513,0.0821256038647343
available_macro,PCA,boosting,history,raw,original_origins,467,1.939558791173383,0.19914346895074947
available_macro,PCA,boosting,history,raw,additional_origins,621,1.720707416673593,0.1610305958132045
available_macro,PCA,boosting,history,calibrated,original_origins,467,1.801666659825818,0.11563169164882227
available_macro,PCA,boosting,history,calibrated,additional_origins,621,1.7691860896546288,0.08856682769726248
available_macro,PCA,linear,base,raw,original_origins,467,1.9402536199005418,0.15845824411134904
available_macro,PCA,linear,base,raw,additional_origins,621,1.7206625057413933,0.12560386473429952
available_macro,PCA,linear,base,calibrated,original_origins,467,1.8100136366085058,0.10492505353319058
