scenario,scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
clock_UTC_quote,core,matched,1,pca,M1,0.5,btc_vol,724,estimated,777.9736454579631,1.505257404453734
clock_UTC_quote,core,matched,1,pca,M1,0.5,btc_ret,724,estimated,-44.808465343431926,-0.1989256254937455
clock_UTC_quote,core,matched,1,pca,M1,0.9,e_origin,724,estimated,0.4228523483483437,4.253227209400762
clock_UTC_quote,core,matched,1,pca,M1,0.9,downside,724,estimated,-48365.26283902879,-0.7606017184074174
clock_UTC_quote,core,matched,1,pca,M1,0.9,btc_vol,724,estimated,653.6371987023601,1.2646858141241335
clock_UTC_quote,core,matched,1,pca,M1,0.9,btc_ret,724,estimated,-77.99526361214245,-0.3462572636817442
clock_UTC_quote,core,matched,1,pca,M2,0.1,e_origin,724,estimated,0.4367777838420336,4.393295111059251
clock_UTC_quote,core,matched,1,pca,M2,0.1,downside,724,estimated,-214256.77128277483,-3.3694444907802343
clock_UTC_quote,core,matched,1,pca,M2,0.1,btc_vol,724,estimated,-71.45764678869116,-0.1382593775014052
clock_UTC_quote,core,matched,1,pca,M2,0.1,btc_ret,724,estimated,150.2000776636563,0.6668080276672904
clock_UTC_quote,core,matched,1,pca,M2,0.1,account_ls,724,estimated,0.8946257920234825,0.5652715620584581
clock_UTC_quote,core,matched,1,pca,M2,0.5,e_origin,724,estimated,0.4491721958005057,4.517963332466096
clock_UTC_quote,core,matched,1,pca,M2,0.5,downside,724,estimated,-179798.66889333475,-2.8275495365918046
clock_UTC_quote,core,matched,1,pca,M2,0.5,btc_vol,724,estimated,795.4146953472767,1.53900310990354
clock_UTC_quote,core,matched,1,pca,M2,0.5,btc_ret,724,estimated,-44.15807089937238,-0.1960382219504512
clock_UTC_quote,core,matched,1,pca,M2,0.5,account_ls,724,estimated,0.1501130653263545,0.0948493187643135
clock_UTC_quote,core,matched,1,pca,M2,0.9,e_origin,724,estimated,0.3919228344865679,3.942125117986876
clock_UTC_quote,core,matched,1,pca,M2,0.9,downside,724,estimated,-111108.97345454384,-1.7473217590335166
clock_UTC_quote,core,matched,1,pca,M2,0.9,btc_vol,724,estimated,739.94539504348,1.4316786838260895
clock_UTC_quote,core,matched,1,pca,M2,0.9,btc_ret,724,estimated,-34.3176952781668,-0.1523522161803684
clock_UTC_quote,core,matched,1,pca,M2,0.9,account_ls,724,estimated,1.238420533800876,0.7824991363635039
clock_UTC_quote,core,matched,1,ml,M0,0.1,e_origin,724,estimated,0.4205989029709331,4.234726663458671
clock_UTC_quote,core,matched,1,ml,M0,0.1,downside,724,estimated,-153220.39713009118,-2.40957436208062
clock_UTC_quote,core,matched,1,ml,M0,0.5,e_origin,724,estimated,0.453753679299407,4.568539743681802
clock_UTC_quote,core,matched,1,ml,M0,0.5,downside,724,estimated,-66789.5095516067,-1.0503450773257657
clock_UTC_quote,core,matched,1,ml,M0,0.9,e_origin,724,estimated,0.4976512246980238,5.010514519761417
clock_UTC_quote,core,matched,1,ml,M0,0.9,downside,724,estimated,15883.997157309575,0.2497948904617345
clock_UTC_quote,core,matched,1,ml,M1,0.1,e_origin,724,estimated,0.4303313232069047,4.332715838375996
clock_UTC_quote,core,matched,1,ml,M1,0.1,downside,724,estimated,-128227.29319002332,-2.0165278512321207
