scenario,block_days,contrast,scope,sample,h,method,q,term,comparator_method,comparator_h,comparator_q,metric,point,ci_low,ci_high,successful
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.1,btc_vol,linear,6,0.1,effect_bp_per_sd,-0.009109691820579857,-0.2391934550121408,0.1812005999468938,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,joint_linear,0.1,btc_vol,joint_linear,6,0.5,coef_raw,-334.4492199122896,-1552.0144100173625,502.97300361940603,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,joint_linear,0.1,btc_vol,joint_linear,6,0.5,effect_bp_per_sd,-0.6489596772019643,-3.0115028248587468,0.975960410838315,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.1,account_ls,linear,6,0.1,coef_raw,-0.0687321038502473,-0.23005948096410928,0.3074925697025385,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.1,account_ls,linear,6,0.1,effect_bp_per_sd,-0.04354353446999759,-0.14574852766527635,0.1948043571790419,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,joint_linear,0.1,account_ls,joint_linear,6,0.5,coef_raw,-0.0613509617594703,-1.8232414839663675,2.058649784793839,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,joint_linear,0.1,account_ls,joint_linear,6,0.5,effect_bp_per_sd,-0.03886739337939504,-1.155069813913941,1.3042069548915873,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.5,e_origin,linear,6,0.5,coef_raw,0.01282305296099398,-0.015315613452257456,0.03249340254953676,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.5,e_origin,linear,6,0.5,effect_bp_per_sd,0.13042398631946428,-0.14365868599027692,0.3230389007066962,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.5,downside,linear,6,0.5,coef_raw,7822.90219460793,-7657.951785915266,18390.273774519253,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.5,downside,linear,6,0.5,effect_bp_per_sd,0.12763625532707468,-0.12494497120304285,0.30005049540786016,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.5,btc_vol,linear,6,0.5,coef_raw,-9.2118220521984,-91.35395771605751,62.834628558172575,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.5,btc_vol,linear,6,0.5,effect_bp_per_sd,-0.017874465567611103,-0.1772616928993952,0.12192326319945049,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.5,account_ls,linear,6,0.5,coef_raw,-0.06790618730882958,-0.15845542669976312,0.20014454152123592,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.5,account_ls,linear,6,0.5,effect_bp_per_sd,-0.0430202953520894,-0.1003855396234097,0.12679665330338097,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,linear,0.1,e_origin,linear,1,0.1,coef_raw,-0.1856839704523987,-0.3783111762061432,-0.010328806296325554,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,linear,0.1,e_origin,linear,1,0.1,effect_bp_per_sd,-1.8761914122668628,-3.8225387912226894,-0.10436451582179891,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,linear,0.1,downside,linear,1,0.1,coef_raw,190920.93394100512,-70647.79838726069,456935.4489899068,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,linear,0.1,downside,linear,1,0.1,effect_bp_per_sd,3.0024604832354007,-1.1110212929865326,7.1858575205040065,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,linear,0.1,btc_vol,linear,1,0.1,coef_raw,-380.86271948539206,-1857.0904999883655,1188.3005666040306,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,linear,0.1,btc_vol,linear,1,0.1,effect_bp_per_sd,-0.7369098322711104,-3.593179848917157,2.299175861599202,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,linear,0.1,account_ls,linear,1,0.1,coef_raw,0.7640240335299309,-3.3190284961235483,3.063357138652635,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,linear,0.1,account_ls,linear,1,0.1,effect_bp_per_sd,0.48275051170482186,-2.0971365226088263,1.9355899308385367,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,pca,0.1,e_origin,linear,6,0.1,coef_raw,-0.007539919363900305,-0.007844249028501084,0.023893087821601593,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,pca,0.1,e_origin,linear,6,0.1,effect_bp_per_sd,-0.08697005481891917,-0.09380325245355825,0.22291451599688666,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,pca,0.1,e_origin,pca,1,0.1,coef_raw,-0.2012800365235622,-0.38007780687535714,-0.0028984858854633807,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,pca,0.1,e_origin,pca,1,0.1,effect_bp_per_sd,-2.024559474235085,-3.822982835984926,-0.02915419314157747,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,pca,0.1,downside,linear,6,0.1,coef_raw,-9335.876086739321,-10615.942783721612,12440.905215117773,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,pca,0.1,downside,linear,6,0.1,effect_bp_per_sd,-0.14681783944907095,-0.16694842227338594,0.19564814351688922,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,pca,0.1,downside,pca,1,0.1,coef_raw,175042.248168864,-71813.421832375,452648.53739593166,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,pca,0.1,downside,pca,1,0.1,effect_bp_per_sd,2.7527491206705306,-1.1293521185280093,7.118440698313038,199
