scenario,method,info,algorithm,q,period,n,days,pinball,below_rate
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.255344211162237,0.6405228758169934
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.9,all,577,67,1.736264359397672,0.8665511265164645
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.4959929191105494,0.9045454545454544
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8518036555372557,0.7941176470588235
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.9277003100557888,0.9084967320261438
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.1,all,577,67,1.8873064504640091,0.1906412478336221
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.1,2026-01,220,26,1.6676266524871637,0.1818181818181818
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.1,2026-02,204,24,1.8367881785963065,0.142156862745098
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.1,2026-03,153,17,2.2705435943588945,0.2679738562091503
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.5,all,577,67,3.827836666132857,0.5528596187175043
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.5,2026-01,220,26,3.4386447215392235,0.6045454545454545
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.5,2026-02,204,24,4.095626321902205,0.4950980392156863
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.5,2026-03,153,17,4.030406195764574,0.5555555555555556
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.9,all,577,67,1.717444280093857,0.8856152512998267
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.9,2026-01,220,26,1.508519172910378,0.9
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.9,2026-02,204,24,1.807971430764048,0.8382352941176471
clock_UTC_quote,joint_linear,with_positioning,linear_qr,0.9,2026-03,153,17,1.8971565993333748,0.9281045751633988
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.1,all,577,67,1.9247076922955424,0.1767764298093587
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.7319310643516397,0.1727272727272727
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.9054082542137636,0.1323529411764706
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.227635427696467,0.2418300653594771
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.5,all,577,67,3.943416321678235,0.587521663778163
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.508037280730359,0.6090909090909091
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.042333555459923,0.5098039215686274
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.4375618989139785,0.6601307189542484
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.9,all,577,67,1.747118774974616,0.8717504332755632
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.5084944205625697,0.9045454545454544
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8844876137448137,0.8088235294117647
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.907080310017295,0.9084967320261438
clock_NY_quote,linear,without_positioning,linear_qr,0.1,all,577,55,2.0758043684994028,0.1767764298093587
clock_NY_quote,linear,without_positioning,linear_qr,0.1,2026-01,220,21,1.6445364028092375,0.1318181818181818
clock_NY_quote,linear,without_positioning,linear_qr,0.1,2026-02,204,20,2.190249614604048,0.142156862745098
clock_NY_quote,linear,without_positioning,linear_qr,0.1,2026-03,153,14,2.543334579260768,0.2875816993464052
clock_NY_quote,linear,without_positioning,linear_qr,0.5,all,577,55,4.048316540040313,0.5545927209705372
clock_NY_quote,linear,without_positioning,linear_qr,0.5,2026-01,220,21,3.3444403285803146,0.65
clock_NY_quote,linear,without_positioning,linear_qr,0.5,2026-02,204,20,4.605508901540565,0.5
clock_NY_quote,linear,without_positioning,linear_qr,0.5,2026-03,153,14,4.317502976479188,0.4901960784313725
clock_NY_quote,linear,without_positioning,linear_qr,0.9,all,577,55,1.8469464223045504,0.8925476603119584
clock_NY_quote,linear,without_positioning,linear_qr,0.9,2026-01,220,21,1.5874015114654445,0.9545454545454546
clock_NY_quote,linear,without_positioning,linear_qr,0.9,2026-02,204,20,2.101604453507495,0.8088235294117647
clock_NY_quote,linear,without_positioning,linear_qr,0.9,2026-03,153,14,1.880604213279732,0.915032679738562
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.1,all,577,55,2.098600331846348,0.1750433275563258
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.788712942742417,0.1863636363636363
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.279929099749617,0.1617647058823529
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.3024183511313017,0.1764705882352941
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.5,all,577,55,4.178306403750304,0.5597920277296361
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.560971140389485,0.6181818181818182
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.654372398734207,0.4950980392156863
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.431223364290593,0.5620915032679739
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.9,all,577,55,1.846757831267058,0.8752166377816292
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.4956637471261776,0.9409090909090908
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.204280459458615,0.7745098039215687
clock_NY_quote,linear,without_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.8749021604168368,0.915032679738562
clock_NY_quote,linear,with_positioning,linear_qr,0.1,all,577,55,2.075096428504344,0.1767764298093587
clock_NY_quote,linear,with_positioning,linear_qr,0.1,2026-01,220,21,1.6426796692767405,0.1318181818181818
clock_NY_quote,linear,with_positioning,linear_qr,0.1,2026-02,204,20,2.190249614604049,0.142156862745098
clock_NY_quote,linear,with_positioning,linear_qr,0.1,2026-03,153,14,2.543334579260768,0.2875816993464052
clock_NY_quote,linear,with_positioning,linear_qr,0.5,all,577,55,4.04882718425965,0.5563258232235702
clock_NY_quote,linear,with_positioning,linear_qr,0.5,2026-01,220,21,3.3444403285803146,0.65
clock_NY_quote,linear,with_positioning,linear_qr,0.5,2026-02,204,20,4.605508901540565,0.5
clock_NY_quote,linear,with_positioning,linear_qr,0.5,2026-03,153,14,4.319428739319437,0.4967320261437908
clock_NY_quote,linear,with_positioning,linear_qr,0.9,all,577,55,1.8469464223045504,0.8925476603119584
clock_NY_quote,linear,with_positioning,linear_qr,0.9,2026-01,220,21,1.5874015114654445,0.9545454545454546
clock_NY_quote,linear,with_positioning,linear_qr,0.9,2026-02,204,20,2.101604453507495,0.8088235294117647
clock_NY_quote,linear,with_positioning,linear_qr,0.9,2026-03,153,14,1.880604213279732,0.915032679738562
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.1,all,577,55,2.090101485924648,0.1785095320623916
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.820091445103223,0.2045454545454545
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.268272344577411,0.1568627450980392
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.2407900729543853,0.1699346405228758
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.5,all,577,55,4.212688037040016,0.5580589254766031
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.634064553359761,0.6045454545454545
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.638932819843064,0.4950980392156863
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.476369283561811,0.5751633986928104
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.9,all,577,55,1.836953214126344,0.8838821490467937
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.502904024868897,0.95
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.187336572595484,0.7990196078431373
clock_NY_quote,linear,with_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.8501075703938867,0.9019607843137256
clock_NY_quote,pca,without_positioning,linear_qr,0.1,all,577,55,2.0498854229497847,0.1767764298093587
clock_NY_quote,pca,without_positioning,linear_qr,0.1,2026-01,220,21,1.6266562343566973,0.1318181818181818
clock_NY_quote,pca,without_positioning,linear_qr,0.1,2026-02,204,20,2.1627896309541224,0.142156862745098
clock_NY_quote,pca,without_positioning,linear_qr,0.1,2026-03,153,14,2.5079113252870013,0.2875816993464052
clock_NY_quote,pca,without_positioning,linear_qr,0.5,all,577,55,4.005936284270575,0.5563258232235702
