scenario,definition,projection,h,q,model,info,reference_model,reference_info,contrast,block_days,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
NY_delay0,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,10,468,0.3623163176231387,0.11203797766507123,0.7009344127037974,-19.139286861537187,-30.56484884553147,-6.60035823491813,0.0175,1,4
NY_delay0,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,1,468,0.13669366390363943,0.003672069173396879,0.2519376175158028,-7.220815399011493,-14.837085215502345,-0.17966970607848443,0.036,1,4
NY_delay0,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,5,468,0.13669366390363943,-0.0018199235622875867,0.25537638472051677,-7.220815399011493,-15.138400275677993,0.08121011396824498,0.033,1,4
NY_delay0,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,10,468,0.13669366390363943,0.021340565108713433,0.2467343397958068,-7.220815399011493,-15.196303571009764,-0.9740095954863753,0.0145,1,4
NY_delay0,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,1,468,0.014674008059682006,-0.059560717235325085,0.08888944745151638,-0.6548871688102809,-4.072968736229153,2.8705336215654844,0.6895,1,4
NY_delay0,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,5,468,0.014674008059682006,-0.0341149558157136,0.06557792821523975,-0.6548871688102809,-2.882474118873769,1.6999341729373127,0.57,1,4
NY_delay0,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,10,468,0.014674008059682006,-0.02513138825139426,0.055361568249912826,-0.6548871688102809,-2.4763404642678246,1.2470780897080243,0.46,1,4
NY_delay0,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,1,468,-0.21094864565981725,-0.6731815339949259,0.08834942639872671,9.414439515001726,-5.0043915074258924,22.238536057554647,0.302,2,4
NY_delay0,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,5,468,-0.21094864565981725,-0.7005593414654103,0.08977779893778602,9.414439515001726,-4.985704692926291,22.836325520691506,0.4375,2,4
NY_delay0,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,10,468,-0.21094864565981725,-0.6349315378163604,0.0801334738165316,9.414439515001726,-4.402093299206166,21.20638883443723,0.4375,2,4
NY_delay0,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,1,468,0.3867072072379142,0.0949194153381491,0.8217155829597443,-20.940141171880477,-36.989222250490506,-5.715300105198954,0.038,0,4
NY_delay0,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,5,468,0.3867072072379142,0.1262831746153925,0.7964058673899577,-20.940141171880477,-34.923065307527466,-7.7639081229116655,0.036,0,4
NY_delay0,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,10,468,0.3867072072379142,0.13694274109829951,0.7403844699747185,-20.940141171880477,-32.73400889192142,-8.36579453575752,0.01,0,4
NY_delay0,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,1,468,0.40863972735988036,0.07703797140160157,0.8639936452827788,-22.127784068141576,-39.36326575478545,-4.436212767729213,0.04,1,4
NY_delay0,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,5,468,0.40863972735988036,0.12398954979266301,0.8441525388081353,-22.127784068141576,-37.5496677353631,-7.52436969690111,0.0325,1,4
NY_delay0,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,10,468,0.40863972735988036,0.1447804905571174,0.7738979026893603,-22.127784068141576,-34.43121388515597,-8.842511700110899,0.011,1,4
NY_delay0,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,1,468,0.17035634149754011,0.02754887516621698,0.30589148193863325,-9.224772059365494,-17.666397253070077,-1.3153845668522883,0.0155,1,4
NY_delay0,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,5,468,0.17035634149754011,0.03747942610544894,0.2859759031806584,-9.224772059365494,-17.538713512209167,-1.757641813932495,0.0055,1,4
NY_delay0,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,10,468,0.17035634149754011,0.06164894005053253,0.2742688543173845,-9.224772059365494,-17.10113651153512,-2.8731695482570325,0.001,1,4
NY_delay0,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,1,468,0.021932520121966236,-0.05392741427142372,0.09719908300243514,-0.982008855581884,-4.634577628068128,2.631599499321864,0.565,1,4
NY_delay0,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,5,468,0.021932520121966236,-0.02878894335361765,0.07358464614905365,-0.982008855581884,-3.3442576527640635,1.4455905722127764,0.4075,1,4
NY_delay0,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,10,468,0.021932520121966236,-0.020359264699202014,0.06349235408529846,-0.982008855581884,-2.8555680321817962,0.9852695677970756,0.296,1,4
