task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,add_residual,7,576,-0.03841168289512867,-0.691855447580155,-0.09499825024418469,0.017791733518294623
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,AE_minus_sequential_ols,3,576,-0.028081471369536187,-0.5067347712100195,-0.0965955734305823,0.03790212200891533
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,AE_minus_sequential_ols,7,576,-0.028081471369536187,-0.5067347712100195,-0.0770104175397003,0.023875778611537276
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,AE_minus_pca_2,3,576,-0.08838505071180122,-1.5777538541219085,-0.21814705038429452,0.035416002116443114
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,AE_minus_pca_2,7,576,-0.08838505071180122,-1.5777538541219085,-0.20390845856713216,0.01980574082210642
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,add_residual,3,576,-0.007061022858728826,-0.06106037972836649,-0.15204619130891034,0.14463961479936652
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,add_residual,7,576,-0.007061022858728826,-0.06106037972836649,-0.11553186203679942,0.1040597276658747
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,AE_minus_sequential_ols,3,576,0.01659726067586728,0.1438194794868359,-0.12528165526327759,0.14769250615928806
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,AE_minus_sequential_ols,7,576,0.01659726067586728,0.1438194794868359,-0.12456137891514418,0.15570557140822688
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,AE_minus_pca_2,3,576,0.057123569191453706,0.4967346232577567,-0.14915821469796053,0.2530385015166585
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,AE_minus_pca_2,7,576,0.057123569191453706,0.4967346232577567,-0.1135643935165923,0.22842891249109876
observed_change,ae_selected,with_positioning,linear_qr,0.1,add_residual,3,576,-0.014002366453142638,-0.2367548849313147,-0.02643583394199038,-0.00315409552074754
observed_change,ae_selected,with_positioning,linear_qr,0.1,add_residual,7,576,-0.014002366453142638,-0.2367548849313147,-0.020623459593993566,-0.006363582316176295
observed_change,ae_selected,with_positioning,linear_qr,0.1,add_positioning,3,576,0.02092830390837484,0.3559624237167845,0.002819334761033935,0.04177646871652726
observed_change,ae_selected,with_positioning,linear_qr,0.1,add_positioning,7,576,0.02092830390837484,0.3559624237167845,0.007570675409917757,0.033910409444308946
observed_change,ae_selected,with_positioning,linear_qr,0.1,AE_minus_sequential_ols,3,576,-0.09255581819146858,-1.5444395508015505,-0.24848984469874008,0.05376240786863869
observed_change,ae_selected,with_positioning,linear_qr,0.1,AE_minus_sequential_ols,7,576,-0.09255581819146858,-1.5444395508015505,-0.2320512368202068,0.048691668299547804
observed_change,ae_selected,with_positioning,linear_qr,0.1,AE_minus_pca_2,3,576,0.04437251289186799,0.7577385409191969,-0.11946610244946058,0.24759012186454957
observed_change,ae_selected,with_positioning,linear_qr,0.1,AE_minus_pca_2,7,576,0.04437251289186799,0.7577385409191969,-0.12258548996622559,0.25161498574515145
observed_change,ae_selected,with_positioning,linear_qr,0.5,add_residual,3,576,-0.009685193592104535,-0.08532703578691694,-0.03840086687817781,0.012510803196819702
observed_change,ae_selected,with_positioning,linear_qr,0.5,add_residual,7,576,-0.009685193592104535,-0.08532703578691694,-0.03997720623781375,0.012460964817675429
observed_change,ae_selected,with_positioning,linear_qr,0.5,add_positioning,3,576,0.04492230115576706,0.3976809226419798,0.0010749264317263484,0.09219782646457932
observed_change,ae_selected,with_positioning,linear_qr,0.5,add_positioning,7,576,0.04492230115576706,0.3976809226419798,0.005789584558956726,0.0811563257750891
observed_change,ae_selected,with_positioning,linear_qr,0.5,AE_minus_sequential_ols,3,576,0.1065077554749947,0.9480434015025915,-0.013227433482434358,0.2639681334540024
observed_change,ae_selected,with_positioning,linear_qr,0.5,AE_minus_sequential_ols,7,576,0.1065077554749947,0.9480434015025915,-0.0057702619246308845,0.2568043104434227
observed_change,ae_selected,with_positioning,linear_qr,0.5,AE_minus_pca_2,3,576,0.10873281200078318,0.9680407292505171,-0.023947554410743695,0.24305347308173225
observed_change,ae_selected,with_positioning,linear_qr,0.5,AE_minus_pca_2,7,576,0.10873281200078318,0.9680407292505171,-8.495673318119997e-05,0.21994132010261805
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,add_residual,3,576,0.002875492921397922,0.05266626206932496,-0.04765270335449437,0.06271152215400545
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,add_residual,7,576,0.002875492921397922,0.05266626206932496,-0.05015611204035043,0.05996657053418765
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,add_positioning,3,576,-0.050855179518636634,-0.9223640210132711,-0.11136999586209781,0.019778438211895708
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,add_positioning,7,576,-0.050855179518636634,-0.9223640210132711,-0.10349042426490684,0.013958704072355513
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,AE_minus_sequential_ols,3,576,0.015359930500519377,0.2819704751731595,-0.0466279194517101,0.0833016792928986
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,AE_minus_sequential_ols,7,576,0.015359930500519377,0.2819704751731595,-0.03892895347110876,0.0760803885382458
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,AE_minus_pca_2,3,576,-0.07934443823275611,-1.431678091422458,-0.2119680427120198,0.04761260864419313
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,AE_minus_pca_2,7,576,-0.07934443823275611,-1.431678091422458,-0.19256115308400232,0.022336454908886003
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,add_residual,3,576,0.06250757608637057,0.5456504787867185,-0.07910238562002161,0.21311415341798676
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,add_residual,7,576,0.06250757608637057,0.5456504787867185,-0.05067947960588474,0.17777606497067666
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,add_positioning,3,576,-0.03882499569352048,-0.33594529452068916,-0.18303385211374568,0.09252790103788786
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,add_positioning,7,576,-0.03882499569352048,-0.33594529452068916,-0.16015279796287302,0.07374468862796629
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,AE_minus_sequential_ols,3,576,-0.01991577224078679,-0.1726098053117761,-0.20337806261441846,0.1579470887612594
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,AE_minus_sequential_ols,7,576,-0.01991577224078679,-0.1726098053117761,-0.20267670278155828,0.1459200853593083
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,AE_minus_pca_2,3,576,0.18455091503806484,1.6283572903849934,-0.012745790298467655,0.3760613390837176
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,AE_minus_pca_2,7,576,0.18455091503806484,1.6283572903849934,0.046598324961786786,0.3224290602990357
observed_change,joint_ols,without_positioning,linear_qr,0.1,add_residual,3,576,-0.018839396020589164,-0.3135050322723497,-0.13712541939323056,0.09100142368088919
