mode,definition,removed_group,procedure,calibration,fold,n,loss_bp,below_rate
strict,EQ,local_volume,retuned,raw,2026-02,120,2.092993751049386,0.15833333333333333
strict,EQ,local_volume,retuned,raw,2026-03,89,2.628163712792711,0.15730337078651685
strict,EQ,none,full,raw,2025-12,132,2.0888804383816533,0.20454545454545456
strict,EQ,none,full,raw,2026-01,126,1.192396991867511,0.1984126984126984
strict,EQ,none,full,raw,2026-02,120,2.06856982091786,0.15833333333333333
strict,EQ,none,full,raw,2026-03,89,2.6111966266788333,0.16853932584269662
strict,EQ,fx_macro,fixed_full_spec,calibrated,2025-12,132,2.098472722858908,0.07575757575757576
strict,EQ,fx_macro,fixed_full_spec,calibrated,2026-01,126,1.1339991569497705,0.07142857142857142
strict,EQ,fx_macro,fixed_full_spec,calibrated,2026-02,120,1.968330880409862,0.10833333333333334
strict,EQ,fx_macro,fixed_full_spec,calibrated,2026-03,89,2.3895253397573977,0.07865168539325842
strict,EQ,fx_macro,retuned,calibrated,2025-12,132,2.098472722858908,0.07575757575757576
strict,EQ,fx_macro,retuned,calibrated,2026-01,126,1.1339991569497705,0.07142857142857142
strict,EQ,fx_macro,retuned,calibrated,2026-02,120,1.968330880409862,0.10833333333333334
strict,EQ,fx_macro,retuned,calibrated,2026-03,89,2.389525339757401,0.07865168539325842
strict,EQ,global_btc,fixed_full_spec,calibrated,2025-12,132,2.0930533076507842,0.06818181818181818
strict,EQ,global_btc,fixed_full_spec,calibrated,2026-01,126,1.1541273942169081,0.07142857142857142
strict,EQ,global_btc,fixed_full_spec,calibrated,2026-02,120,1.9703162329549064,0.1
strict,EQ,global_btc,fixed_full_spec,calibrated,2026-03,89,2.0655530859693525,0.11235955056179775
strict,EQ,global_btc,retuned,calibrated,2025-12,132,2.246716904132581,0.06060606060606061
strict,EQ,global_btc,retuned,calibrated,2026-01,126,1.1541273942169081,0.07142857142857142
strict,EQ,global_btc,retuned,calibrated,2026-02,120,1.9703162329549064,0.1
strict,EQ,global_btc,retuned,calibrated,2026-03,89,1.8645956831278339,0.0898876404494382
strict,EQ,local_volume,fixed_full_spec,calibrated,2025-12,132,2.1321666310495875,0.08333333333333333
strict,EQ,local_volume,fixed_full_spec,calibrated,2026-01,126,1.132311307303791,0.05555555555555555
strict,EQ,local_volume,fixed_full_spec,calibrated,2026-02,120,2.000733273198031,0.10833333333333334
strict,EQ,local_volume,fixed_full_spec,calibrated,2026-03,89,2.524080261939004,0.0898876404494382
strict,EQ,local_volume,retuned,calibrated,2025-12,132,2.1321666310495875,0.08333333333333333
strict,EQ,local_volume,retuned,calibrated,2026-01,126,1.170728681480042,0.0873015873015873
strict,EQ,local_volume,retuned,calibrated,2026-02,120,1.9961434295519784,0.10833333333333334
strict,EQ,local_volume,retuned,calibrated,2026-03,89,2.524080261939004,0.0898876404494382
strict,EQ,none,full,calibrated,2025-12,132,2.079680485714448,0.07575757575757576
strict,EQ,none,full,calibrated,2026-01,126,1.1400443740617772,0.05555555555555555
strict,EQ,none,full,calibrated,2026-02,120,1.9630510760841122,0.10833333333333334
strict,EQ,none,full,calibrated,2026-03,89,2.5291415397953427,0.10112359550561797
